Rank,Name,Vocation,World,Level,Score,Category
389,Zen Ki Insane,Master Sorcerer,Menera,1561,"7,759",Drome Score
390,Battmann,Royal Paladin,Harmonia,622,"7,758",Drome Score
391,Arroz Con Queso,Elite Knight,Havera,1066,"7,756",Drome Score
392,Brenin Golpista,Royal Paladin,Etebra,1615,"7,750",Drome Score
393,Ciclone Thunder,Royal Paladin,Honbra,996,"7,747",Drome Score
394,Screeno,Royal Paladin,Bona,1615,"7,746",Drome Score
395,Nightmage,Master Sorcerer,Yonabra,1077,"7,743",Drome Score
396,Darkness Miss Lalatina,Elite Knight,Secura,1576,"7,741",Drome Score
397,Teev,Royal Paladin,Monza,1387,"7,736",Drome Score
398,Zeeh Chinelo,Master Sorcerer,Celebra,2036,"7,734",Drome Score
399,Abbysz,Elder Druid,Solidera,943,"7,731",Drome Score
400,Maurolkit,Elite Knight,Secura,1934,"7,724",Drome Score
401,Skushy,Master Sorcerer,Inabra,1041,"7,723",Drome Score
402,Majorowa,Elite Knight,Karmeya,2264,"7,720",Drome Score
403,Seymour Blood,Master Sorcerer,Nevia,1394,"7,714",Drome Score
404,Soulfrail,Elder Druid,Celesta,1186,"7,709",Drome Score
405,Kenshiro Guts,Elite Knight,Inabra,1192,"7,700",Drome Score
406,Natalka Zakochana,Elder Druid,Harmonia,1313,"7,690",Drome Score
407,Naruciaczek,Royal Paladin,Celesta,1967,"7,688",Drome Score
408,Fllawlless Victory,Royal Paladin,Pacera,1195,"7,680",Drome Score
409,Kamastinx,Elite Knight,Antica,945,"7,679",Drome Score
410,Posseidon the Celestic,Elder Druid,Celebra,1127,"7,677",Drome Score
410,Rudi Healer,Elder Druid,Peloria,665,"7,677",Drome Score
412,Async,Elder Druid,Harmonia,1437,"7,668",Drome Score
413,Hardflipsz,Elite Knight,Pacera,782,"7,666",Drome Score
414,Dragonidas,Master Sorcerer,Monza,1512,"7,660",Drome Score
415,Sir Knoxville Slayer,Elite Knight,Celesta,771,"7,657",Drome Score
416,Pangping,Royal Paladin,Karmeya,1418,"7,653",Drome Score
417,Lord Zilez,Master Sorcerer,Vunira,1086,"7,648",Drome Score
418,Bon de,Elder Druid,Ferobra,1518,"7,638",Drome Score
419,Wrath Saga,Elite Knight,Gladera,2085,"7,634",Drome Score
420,Darkeduar,Elite Knight,Pacera,1294,"7,631",Drome Score
421,Max Fleury,Elite Knight,Celebra,2105,"7,628",Drome Score
422,Sheng,Elder Druid,Yonabra,2155,"7,626",Drome Score
423,White hair,Master Sorcerer,Refugia,800,"7,621",Drome Score
424,Ray Pakamil,Royal Paladin,Retalia,594,"7,620",Drome Score
425,Natarius Scotfield,Elite Knight,Astera,614,"7,610",Drome Score
426,Avkell,Royal Paladin,Gentebra,1094,"7,599",Drome Score
427,Apok Kryz,Elite Knight,Talera,1482,"7,597",Drome Score
428,Bellshezzar King,Royal Paladin,Belobra,1172,"7,596",Drome Score
429,Fernandinho from Fortera,Elder Druid,Gladibra,1116,"7,587",Drome Score
430,Loky Storm,Elder Druid,Havera,1196,"7,582",Drome Score
431,Rafittzz,Master Sorcerer,Belobra,2071,"7,580",Drome Score
432,Ivene,Royal Paladin,Celesta,2058,"7,578",Drome Score
433,Chef Of Ending,Elder Druid,Secura,1590,"7,572",Drome Score
434,Patip,Elder Druid,Peloria,995,"7,566",Drome Score
435,Turco Loko,Royal Paladin,Inabra,2104,"7,565",Drome Score
436,Antonylima,Elite Knight,Ferobra,791,"7,561",Drome Score
436,Kalumi,Elder Druid,Solidera,672,"7,561",Drome Score
436,Knight Davin,Elite Knight,Quelibra,1431,"7,561",Drome Score
439,Pavaks,Elder Druid,Monza,1988,"7,546",Drome Score
440,Kultury,Royal Paladin,Refugia,1553,"7,534",Drome Score
441,Gapiru,Elite Knight,Secura,1062,"7,529",Drome Score
442,Rowen,Elite Knight,Solidera,1736,"7,526",Drome Score
443,Luiix,Royal Paladin,Ustebra,1634,"7,523",Drome Score
444,Sawano Hiroyuki,Royal Paladin,Yonabra,2173,"7,522",Drome Score
445,Ares Royale,Royal Paladin,Thyria,1200,"7,512",Drome Score
445,Eksman,Master Sorcerer,Monza,2156,"7,512",Drome Score
447,Tecek,Royal Paladin,Refugia,2270,"7,510",Drome Score
448,Cellio,Master Sorcerer,Rasteibra,1634,"7,498",Drome Score
448,Supridokk,Master Sorcerer,Monstera,704,"7,498",Drome Score
450,Knight Emmanuel,Elite Knight,Gentebra,1520,"7,488",Drome Score
451,Kasik Magnat,Royal Paladin,Eclipta,1448,"7,487",Drome Score
452,Barri Insane,Elite Knight,Calmera,1656,"7,479",Drome Score
452,Cavots,Elite Knight,Ustebra,1025,"7,479",Drome Score
454,Heinzinki,Master Sorcerer,Vunira,1910,"7,477",Drome Score
455,Mandatory Namecheiingi,Royal Paladin,Monstera,1448,"7,475",Drome Score
455,Sio Rumak,Elder Druid,Xyla,1343,"7,475",Drome Score
457,Pamellax,Elder Druid,Kalibra,1340,"7,470",Drome Score
458,Dellani,Elder Druid,Celebra,1801,"7,467",Drome Score
459,Nott Primetime,Royal Paladin,Descubra,2158,"7,465",Drome Score
460,Leah Leaf,Elite Knight,Solidera,502,"7,457",Drome Score
461,Lau-Nel,Elder Druid,Refugia,1424,"7,453",Drome Score
462,Salsa Agridoce,Royal Paladin,Oceanis,1398,"7,450",Drome Score
463,Szwagier Gregor,Master Sorcerer,Xyla,1400,"7,449",Drome Score
464,Venoxd,Royal Paladin,Monza,1738,"7,435",Drome Score
465,Geek Sonyc kent,Elite Knight,Calmera,1008,"7,432",Drome Score
465,Miojo Doido,Master Sorcerer,Gentebra,1670,"7,432",Drome Score
467,Relaxado Do Corre,Royal Paladin,Rasteibra,1874,"7,430",Drome Score
468,Vicyous,Elite Knight,Calmera,1616,"7,429",Drome Score
469,Bruzanas,Elite Knight,Quidera,1437,"7,423",Drome Score
470,Goofy Goofus,Elite Knight,Jadebra,1082,"7,422",Drome Score
470,Mit Iron,Elite Knight,Gentebra,2215,"7,422",Drome Score
472,Magnifik Danyveiosair,Royal Paladin,Quelibra,1832,"7,418",Drome Score
473,Bratku Boy,Royal Paladin,Secura,2154,"7,415",Drome Score
474,Nershil,Elite Knight,Secura,1004,"7,410",Drome Score
475,Pal Capone,Royal Paladin,Secura,1954,"7,406",Drome Score
476,Master Wildedge,Master Sorcerer,Serdebra,691,"7,402",Drome Score
477,Jand Supremoo,Elite Knight,Jadebra,1989,"7,398",Drome Score
478,Vand Woodstock,Elder Druid,Inabra,1025,"7,394",Drome Score
479,Flopt,Master Sorcerer,Belobra,873,"7,389",Drome Score
480,Dark Leoz,Master Sorcerer,Gentebra,751,"7,388",Drome Score
480,Pai do Bandidoo,Elder Druid,Inabra,1422,"7,388",Drome Score
482,Ronexy,Royal Paladin,Celebra,1665,"7,381",Drome Score
483,Doug Devasso,Elite Knight,Collabra,1852,"7,374",Drome Score
484,Hatie,Elite Knight,Monza,1788,"7,372",Drome Score
484,Itoow,Royal Paladin,Belobra,571,"7,372",Drome Score
484,Poke Corporation,Royal Paladin,Issobra,2415,"7,372",Drome Score
487,Nanekzin,Royal Paladin,Jadebra,1014,"7,371",Drome Score
487,Serea Daen,Royal Paladin,Solidera,638,"7,371",Drome Score
489,Shaxa Shan,Elite Knight,Astera,652,"7,370",Drome Score
490,Ceso,Elite Knight,Monza,1072,"7,362",Drome Score
491,After sun lotion,Elder Druid,Vunira,1035,"7,360",Drome Score
492,Fire Draggon,Elite Knight,Quintera,1323,"7,353",Drome Score
492,Zainzao,Elder Druid,Descubra,2209,"7,353",Drome Score
494,Juh Barbous,Elder Druid,Descubra,1631,"7,345",Drome Score
494,Nikovka,Elder Druid,Secura,955,"7,345",Drome Score
496,Czikita,Elder Druid,Secura,2063,"7,341",Drome Score
497,Hashpreps,Royal Paladin,Celebra,1097,"7,340",Drome Score
498,Saydaan,Elder Druid,Kalibra,1238,"7,324",Drome Score
499,Closedfriends Cebola,Royal Paladin,Jadebra,1582,"7,322",Drome Score
500,Hessik,Elite Knight,Thyria,755,"7,313",Drome Score
500,Zeze Careca,Elite Knight,Xyla,871,"7,313",Drome Score
502,Mathewziin,Elite Knight,Quelibra,1414,"7,312",Drome Score
503,Pearl Stark,Royal Paladin,Gladera,672,"7,311",Drome Score
504,Bald Bolter,Royal Paladin,Peloria,501,"7,310",Drome Score
505,Meatbow,Royal Paladin,Epoca,1745,"7,308",Drome Score
506,Antigeno,Elite Knight,Pacera,1045,"7,305",Drome Score
507,Woman Spia,Royal Paladin,Quintera,1189,"7,304",Drome Score
508,Headshotter,Royal Paladin,Kalibra,593,"7,302",Drome Score
509,Dudopix Corp,Royal Paladin,Ferobra,1927,"7,301",Drome Score
510,Sofyzikat,Master Sorcerer,Premia,1285,"7,300",Drome Score
511,Baronkz,Royal Paladin,Bona,1072,"7,295",Drome Score
511,Leimar,Royal Paladin,Secura,1015,"7,295",Drome Score
513,Alexh con Hat,Royal Paladin,Talera,1698,"7,292",Drome Score
514,Fenomenalny Tonnek,Master Sorcerer,Harmonia,933,"7,281",Drome Score
515,Rzeznik Wedliniarz,Elite Knight,Secura,1430,"7,268",Drome Score
516,Fleth Tyron,Elite Knight,Peloria,629,"7,266",Drome Score
517,Marin Downgraded,Elite Knight,Ustebra,1650,"7,262",Drome Score
518,Gogrex,Royal Paladin,Xyla,1253,"7,257",Drome Score
519,Nakkamas,Elite Knight,Talera,1038,"7,256",Drome Score
520,Vith Tyrathores,Elite Knight,Solidera,433,"7,254",Drome Score
521,Nimuezinha,Elite Knight,Gentebra,723,"7,251",Drome Score
522,Gonyxz,Master Sorcerer,Inabra,1208,"7,249",Drome Score
523,Stredimus,Master Sorcerer,Gladera,1018,"7,248",Drome Score
524,Camann Casad,Elite Knight,Harmonia,754,"7,245",Drome Score
525,Raijiin,Master Sorcerer,Lobera,600,"7,243",Drome Score
526,Zythnoc,Elder Druid,Quidera,945,"7,232",Drome Score
527,Arbo Donaga,Elder Druid,Celesta,875,"7,229",Drome Score
527,Elder Takt,Elder Druid,Astera,1454,"7,229",Drome Score
529,Banshee Slayer,Elite Knight,Calmera,613,"7,226",Drome Score
530,Clay Bloodsoul,Elite Knight,Astera,1514,"7,225",Drome Score
531,Exilum,Elite Knight,Menera,816,"7,224",Drome Score
532,Dreams,Elder Druid,Yonabra,1364,"7,221",Drome Score
532,Soul jail,Elite Knight,Vunira,612,"7,221",Drome Score
534,Mannimarc,Elite Knight,Kalibra,1424,"7,217",Drome Score
535,Ogum Warrior,Elite Knight,Astera,1105,"7,213",Drome Score
536,Kruuks,Royal Paladin,Refugia,1577,"7,212",Drome Score
537,The Grimfire,Royal Paladin,Nefera,1451,"7,209",Drome Score
538,Dovath,Royal Paladin,Premia,1028,"7,204",Drome Score
539,Nitroks,Elite Knight,Astera,1018,"7,199",Drome Score
540,Gutierrezs,Elder Druid,Gentebra,2404,"7,198",Drome Score
540,Terra Pitbulldo Manguin,Royal Paladin,Ombra,1621,"7,198",Drome Score
542,Hexed,Royal Paladin,Kalibra,1309,"7,194",Drome Score
543,Kee mo,Master Sorcerer,Retalia,1087,"7,191",Drome Score
544,Knight do Guga,Elite Knight,Nefera,776,"7,189",Drome Score
544,Roffa The King,Elite Knight,Vunira,1595,"7,189",Drome Score
544,Theron Darax,Elite Knight,Yonabra,1495,"7,189",Drome Score
547,The Lek,Royal Paladin,Astera,1495,"7,188",Drome Score
547,Toshiii,Master Sorcerer,Gentebra,1810,"7,188",Drome Score
549,Amjz,Royal Paladin,Quidera,930,"7,183",Drome Score
550,Ashalor Razno,Elite Knight,Nefera,898,"7,175",Drome Score
551,Vextoor,Master Sorcerer,Serdebra,1509,"7,165",Drome Score
552,Awdy,Elite Knight,Firmera,1267,"7,159",Drome Score
553,Shisui Attack,Royal Paladin,Ourobra,1082,"7,157",Drome Score
554,Hyooga,Master Sorcerer,Nevia,1596,"7,154",Drome Score
555,Poczesany,Paladin,Thyria,1114,"7,152",Drome Score
556,Kairuz,Elite Knight,Lutabra,1630,"7,151",Drome Score
557,Czterolistny Pajak,Elite Knight,Refugia,1165,"7,150",Drome Score
558,Gabb Riel,Master Sorcerer,Belobra,1803,"7,148",Drome Score
559,Shepherd of Wolves,Royal Paladin,Refugia,500,"7,147",Drome Score
560,Nightmare Delas,Elite Knight,Gentebra,1220,"7,131",Drome Score
561,Ahoky,Master Sorcerer,Solidera,1717,"7,129",Drome Score
561,Aserys,Elite Knight,Rasteibra,1385,"7,129",Drome Score
563,Bruwkz Mercenary,Elite Knight,Quelibra,1371,"7,127",Drome Score
564,Aeranthir,Royal Paladin,Lobera,872,"7,124",Drome Score
564,Lady Czekalski,Royal Paladin,Ombra,832,"7,124",Drome Score
564,Tiao Pancada,Elite Knight,Celebra,1674,"7,124",Drome Score
567,Aner Elot,Elite Knight,Talera,955,"7,104",Drome Score
568,Tejows Corporation,Elite Knight,Issobra,1888,"7,102",Drome Score
569,Hipiduli,Elder Druid,Astera,1082,"7,098",Drome Score
570,Cronyco,Elite Knight,Refugia,1412,"7,097",Drome Score
570,Dear Daisy,Elite Knight,Quidera,630,"7,097",Drome Score
570,Luziadas,Elite Knight,Calmera,1280,"7,097",Drome Score
573,Kiingdom,Master Sorcerer,Yovera,1800,"7,095",Drome Score
574,Guilebass,Paladin,Menera,1043,"7,094",Drome Score
575,Evkall,Master Sorcerer,Gentebra,891,"7,090",Drome Score
576,Ninja Zayat,Royal Paladin,Honbra,717,"7,089",Drome Score
577,Kingzoorr,Elder Druid,Issobra,1763,"7,086",Drome Score
578,Nefii,Royal Paladin,Nefera,925,"7,085",Drome Score
579,Seguroth,Elite Knight,Harmonia,539,"7,084",Drome Score
580,Diex Cocoquillo,Master Sorcerer,Talera,747,"7,078",Drome Score
581,Tyo Rogi,Master Sorcerer,Lutabra,1432,"7,073",Drome Score
582,Alioco,Elite Knight,Descubra,649,"7,070",Drome Score
583,Mighty Rune,Elite Knight,Celesta,1967,"7,067",Drome Score
583,Walt Warz,Elder Druid,Vunira,1373,"7,067",Drome Score
585,Rawiro,Master Sorcerer,Havera,886,"7,061",Drome Score
586,Dardar Zamoldimor,Royal Paladin,Celesta,982,"7,059",Drome Score
586,Ezommmmmm Maammmmmm Kuammmmmm,Royal Paladin,Nevia,1844,"7,059",Drome Score
588,Valiiant krzychu,Royal Paladin,Secura,1253,"7,058",Drome Score
589,Highflxyerk,Elite Knight,Quidera,1772,"7,056",Drome Score
590,Elite Maister,Elite Knight,Premia,1039,"7,052",Drome Score
591,Lord Mutsley,Elite Knight,Serdebra,1027,"7,049",Drome Score
592,Volta Mcfish,Elder Druid,Calmera,1486,"7,048",Drome Score
593,Almighty Nova,Royal Paladin,Wintera,2187,"7,047",Drome Score
594,Darkside Rafa,Elite Knight,Gladera,1041,"7,044",Drome Score
595,Ostabil,Royal Paladin,Epoca,1320,"7,041",Drome Score
596,Miini Adus,Elder Druid,Eclipta,1336,"7,040",Drome Score
597,Zerdux,Elder Druid,Refugia,1235,"7,034",Drome Score
598,Zoxxe,Elder Druid,Peloria,601,"7,033",Drome Score
599,Magic Egoist,Royal Paladin,Astera,1346,"7,030",Drome Score
600,Scorpionnegro,Royal Paladin,Menera,1702,"7,028",Drome Score
601,Shiro Yaksha,Elite Knight,Vunira,772,"7,024",Drome Score
602,Matson First,Royal Paladin,Xyla,944,"7,020",Drome Score
603,Galll,Elite Knight,Gentebra,2663,"7,013",Drome Score
604,Yinlay,Elite Knight,Nevia,990,"7,011",Drome Score
605,Anonxe,Royal Paladin,Nevia,1650,"7,006",Drome Score
606,Tchaaa,Elder Druid,Gentebra,1933,"7,005",Drome Score
607,Polly Rockt Knight,Elite Knight,Calmera,752,"7,002",Drome Score
608,Keenghi,Elder Druid,Karmeya,1918,"6,998",Drome Score
609,Czarujacyy,Master Sorcerer,Karmeya,1449,"6,996",Drome Score
610,Aeriz,Elite Knight,Antica,612,"6,995",Drome Score
610,Argamiim,Elite Knight,Yonabra,1313,"6,995",Drome Score
612,Sami Xolico,Master Sorcerer,Antica,422,"6,993",Drome Score
613,Chimolina,Elder Druid,Harmonia,1156,"6,991",Drome Score
613,Kilseno,Royal Paladin,Secura,1272,"6,991",Drome Score
615,Rysiu Najszybszy Bolt,Royal Paladin,Nevia,1248,"6,982",Drome Score
616,Lady Clique,Elder Druid,Secura,869,"6,981",Drome Score
617,Greamir,Master Sorcerer,Celesta,2181,"6,980",Drome Score
617,Mi Shadday,Royal Paladin,Quidera,880,"6,980",Drome Score
617,Urek San,Royal Paladin,Venebra,872,"6,980",Drome Score
620,Roadster Kitad,Elite Knight,Talera,1498,"6,977",Drome Score
621,Primo Fibrado,Elite Knight,Serdebra,1260,"6,975",Drome Score
622,Ciemnyez,Elite Knight,Venebra,1822,"6,971",Drome Score
622,Jefe Implash,Royal Paladin,Wintera,1369,"6,971",Drome Score
624,Krisu,Royal Paladin,Xyla,1690,"6,967",Drome Score
625,Davidzinhow,Elder Druid,Rasteibra,1921,"6,966",Drome Score
626,King Peruviann,Elite Knight,Antica,705,"6,965",Drome Score
627,Mustzinho,Elder Druid,Venebra,1789,"6,963",Drome Score
628,Lady Yiinaa,Royal Paladin,Nefera,1659,"6,959",Drome Score
629,Xigix,Master Sorcerer,Luminera,1784,"6,953",Drome Score
630,Tex Pancadao,Royal Paladin,Yonabra,1280,"6,951",Drome Score
631,Baztet,Elder Druid,Luminera,1186,"6,946",Drome Score
631,Lady Iselii,Master Sorcerer,Harmonia,938,"6,946",Drome Score
633,Doughsz,Royal Paladin,Ferobra,1584,"6,940",Drome Score
634,Que Jin,Elder Druid,Serdebra,1587,"6,936",Drome Score
635,Wa'las,Elite Knight,Monza,1091,"6,935",Drome Score
636,Ominae Yu,Elite Knight,Yonabra,1738,"6,934",Drome Score
637,Jonzor Fumega Fumega,Elder Druid,Celebra,1742,"6,924",Drome Score
638,Hecks Leads,Elder Druid,Luminera,2093,"6,921",Drome Score
639,Domenichellii,Master Sorcerer,Kalibra,1783,"6,919",Drome Score
640,Barelor,Elder Druid,Collabra,1837,"6,913",Drome Score
640,Duguinha,Elder Druid,Issobra,1125,"6,913",Drome Score
640,Nevasio,Elder Druid,Refugia,902,"6,913",Drome Score
643,Drunk Jim Lahey,Elite Knight,Bona,1144,"6,909",Drome Score
643,Smoker,Royal Paladin,Serdebra,1718,"6,909",Drome Score
645,Virtush Awesome,Elite Knight,Zunera,1422,"6,907",Drome Score
646,Scorpion Insane,Royal Paladin,Wintera,920,"6,902",Drome Score
647,Moldoz,Elder Druid,Antica,713,"6,897",Drome Score
648,Shining Horseman,Elite Knight,Talera,679,"6,886",Drome Score
649,Amzte,Royal Paladin,Kalibra,1442,"6,883",Drome Score
650,Sagan Carl,Master Sorcerer,Menera,685,"6,881",Drome Score
651,Old Noe,Royal Paladin,Secura,1961,"6,877",Drome Score
652,Zohry,Elite Knight,Celebra,847,"6,876",Drome Score
653,Gueroba Goiano,Elite Knight,Inabra,1052,"6,872",Drome Score
654,Demon Joselita,Royal Paladin,Quelibra,1151,"6,867",Drome Score
654,Ke vinho,Elder Druid,Gentebra,2732,"6,867",Drome Score
656,Iron Paladyn,Royal Paladin,Lobera,1289,"6,866",Drome Score
657,Eleox sky,Royal Paladin,Solidera,405,"6,862",Drome Score
658,Janeer,Elite Knight,Quintera,1551,"6,860",Drome Score
658,Temari Archer,Royal Paladin,Refugia,1480,"6,860",Drome Score
660,Zordko,Royal Paladin,Gentebra,1215,"6,858",Drome Score
661,Triu Verix,Royal Paladin,Premia,939,"6,854",Drome Score
662,Shidden Imbativel,Elder Druid,Gladibra,604,"6,853",Drome Score
663,Anilde,Royal Paladin,Antica,1386,"6,847",Drome Score
663,Chris Dictador,Royal Paladin,Ombra,2289,"6,847",Drome Score
665,Younis,Elite Knight,Premia,1151,"6,846",Drome Score
666,Nalsi Tawyn,Elite Knight,Harmonia,1154,"6,845",Drome Score
667,Junior Inda House,Elite Knight,Xyla,512,"6,841",Drome Score
667,Magico Druida,Elder Druid,Zunera,597,"6,841",Drome Score
669,Viny Xintrex,Royal Paladin,Havera,1280,"6,839",Drome Score
670,Durandal of Valor,Elder Druid,Secura,967,"6,835",Drome Score
670,Yalthus,Elder Druid,Yonabra,1374,"6,835",Drome Score
672,Edbu,Royal Paladin,Quintera,1426,"6,834",Drome Score
673,Lutador de Mace,Elite Knight,Gentebra,1981,"6,833",Drome Score
674,Kael do Wex,Master Sorcerer,Belobra,1561,"6,822",Drome Score
674,Niku Nesi,Elite Knight,Pacera,1791,"6,822",Drome Score
676,Solitario of road,Elite Knight,Solidera,553,"6,821",Drome Score
677,Teco Exausto,Elite Knight,Luminera,1467,"6,820",Drome Score
677,Trevligtbradag,Royal Paladin,Eclipta,950,"6,820",Drome Score
679,Dat Pedrak,Elder Druid,Antica,1886,"6,819",Drome Score
680,Highmage Hidden,Master Sorcerer,Yonabra,1857,"6,817",Drome Score
681,Joyx,Elder Druid,Celebra,1250,"6,803",Drome Score
682,Gabrielito,Elite Knight,Nefera,1594,"6,797",Drome Score
683,Pedrin Feliznatal,Royal Paladin,Ourobra,2072,"6,794",Drome Score
684,Cardinale Habby,Royal Paladin,Peloria,957,"6,793",Drome Score
685,Lovens,Elite Knight,Secura,1075,"6,783",Drome Score
686,Remarkable Deco,Master Sorcerer,Inabra,1754,"6,781",Drome Score
687,Toxic Noise,Elite Knight,Secura,1514,"6,780",Drome Score
688,Lazy Tytanka,Elite Knight,Secura,1052,"6,779",Drome Score
689,Pzadilla the shihan,Royal Paladin,Quintera,1579,"6,777",Drome Score
690,Miss Petetoo,Elite Knight,Nevia,1171,"6,771",Drome Score
691,Kinobal,Elite Knight,Oceanis,1713,"6,770",Drome Score
692,Felipinho Shocknelas,Elite Knight,Gladibra,1390,"6,766",Drome Score
693,Tha,Master Sorcerer,Yonabra,747,"6,757",Drome Score
694,Ficoq Limitado,Royal Paladin,Quintera,1280,"6,751",Drome Score
695,Sweaty Kamish,Elite Knight,Secura,964,"6,750",Drome Score
696,Koztos,Elite Knight,Monza,894,"6,749",Drome Score
697,Grigao Alppcinio,Royal Paladin,Ombra,1340,"6,735",Drome Score
698,Marugo,Master Sorcerer,Collabra,1845,"6,730",Drome Score
699,Rubbet Xbow,Royal Paladin,Retalia,479,"6,728",Drome Score
700,Carlao Zedrin,Royal Paladin,Ourobra,1233,"6,722",Drome Score
700,Pupuliukas,Royal Paladin,Antica,1335,"6,722",Drome Score
702,Lefay,Master Sorcerer,Honbra,1949,"6,718",Drome Score
703,Gutzim,Knight,Inabra,804,"6,712",Drome Score
704,Wikadny,Master Sorcerer,Secura,1001,"6,708",Drome Score
705,Selibess,Elite Knight,Dia,1931,"6,706",Drome Score
706,Aruarian Druid,Elder Druid,Menera,1462,"6,704",Drome Score
706,Izumo Striker,Royal Paladin,Ourobra,1269,"6,704",Drome Score
708,Tarmon Gai Don,Elder Druid,Peloria,1300,"6,702",Drome Score
709,Zarem Wick,Elite Knight,Havera,1144,"6,701",Drome Score
710,Fer Di,Elder Druid,Inabra,973,"6,694",Drome Score
711,Duzy Brzuszek,Master Sorcerer,Nevia,2040,"6,687",Drome Score
712,Najsumare,Knight,Nevia,820,"6,686",Drome Score
713,Brossaud,Elder Druid,Venebra,1553,"6,679",Drome Score
714,Kikaro,Elite Knight,Nefera,882,"6,676",Drome Score
714,Marcus Eon,Elite Knight,Thyria,916,"6,676",Drome Score
714,Txokolate,Royal Paladin,Rasteibra,1314,"6,676",Drome Score
717,Giant Bobo,Royal Paladin,Monza,444,"6,674",Drome Score
717,Headshot Qazq,Elite Knight,Monstera,1254,"6,674",Drome Score
719,Bruno is Back,Elite Knight,Ferobra,1368,"6,667",Drome Score
719,Cavaleira Shaw,Elite Knight,Collabra,1454,"6,667",Drome Score
719,Waguinho The Legend,Elder Druid,Quelibra,2102,"6,667",Drome Score
722,Don Kamizi,Elite Knight,Dia,1698,"6,663",Drome Score
723,Samhain Dreyar,Elite Knight,Calmera,783,"6,656",Drome Score
724,Crypth,Elite Knight,Antica,508,"6,655",Drome Score
725,Thalento,Royal Paladin,Ombra,1398,"6,645",Drome Score
726,Sir Dzidek,Royal Paladin,Calmera,639,"6,644",Drome Score
727,Furious Pobre,Elite Knight,Oceanis,1134,"6,643",Drome Score
728,Gabe Um,Master Sorcerer,Yonabra,1858,"6,641",Drome Score
729,Mandatory Namechangeeieg,Master Sorcerer,Monstera,915,"6,639",Drome Score
730,Rabada com Agriao,Elite Knight,Celebra,786,"6,638",Drome Score
731,Fean Delusak,Elite Knight,Bona,720,"6,628",Drome Score
732,Katzwinckel,Elder Druid,Yonabra,1636,"6,626",Drome Score
733,Lady Chylka,Elite Knight,Harmonia,928,"6,624",Drome Score
734,Ali the shihan,Elder Druid,Quintera,1573,"6,623",Drome Score
735,Dragonidez,Elite Knight,Monza,973,"6,615",Drome Score
736,Pinorii,Elite Knight,Wintera,1076,"6,611",Drome Score
737,Cowboy Paeveio,Master Sorcerer,Unebra,1465,"6,610",Drome Score
738,Efra,Royal Paladin,Solidera,841,"6,609",Drome Score
739,Anhis Knight,Elite Knight,Secura,681,"6,606",Drome Score
739,Paranoikii,Royal Paladin,Astera,1334,"6,606",Drome Score
741,Jed Bartlet,Royal Paladin,Antica,1300,"6,604",Drome Score
742,Wilfer,Royal Paladin,Collabra,1465,"6,599",Drome Score
743,Jotazovisk,Royal Paladin,Collabra,1914,"6,596",Drome Score
744,King Danter,Elite Knight,Celesta,2411,"6,591",Drome Score
745,Moemaar,Elite Knight,Astera,469,"6,587",Drome Score
746,Yankoz Maestro,Master Sorcerer,Antica,1569,"6,586",Drome Score
747,Yumee,Master Sorcerer,Descubra,484,"6,584",Drome Score
748,Khaosz Cliick Claack,Elder Druid,Xymera,1748,"6,578",Drome Score
749,Alfadur Druid,Elder Druid,Yonabra,871,"6,577",Drome Score
749,Nene Star,Elder Druid,Gladera,1198,"6,577",Drome Score
751,Lucia Nidderiea,Elder Druid,Thyria,1188,"6,576",Drome Score
752,Yena Rudais,Elite Knight,Lobera,272,"6,575",Drome Score
753,Oty Sunset,Royal Paladin,Astera,535,"6,572",Drome Score
754,Crii Tic,Master Sorcerer,Monza,1900,"6,569",Drome Score
755,Icarus Cltcansado,Master Sorcerer,Ourobra,2049,"6,566",Drome Score
756,Degohug,Elite Knight,Vunira,673,"6,565",Drome Score
756,Priam De'Rise,Royal Paladin,Peloria,1153,"6,565",Drome Score
758,Duff Bandidoo,Elite Knight,Inabra,1095,"6,563",Drome Score
759,Jahadsito,Elite Knight,Quintera,1535,"6,561",Drome Score
759,Tom Ylw,Royal Paladin,Harmonia,1721,"6,561",Drome Score
761,Gullszeye,Royal Paladin,Gentebra,1620,"6,559",Drome Score
762,Mage Sunmi,Master Sorcerer,Venebra,1517,"6,557",Drome Score
763,Zezinho Enterprise,Elite Knight,Ourobra,1805,"6,555",Drome Score
764,Another Other,Elite Knight,Thyria,1345,"6,550",Drome Score
765,Matzinio,Elite Knight,Secura,538,"6,544",Drome Score
765,Og Kiedos,Master Sorcerer,Vunira,1423,"6,544",Drome Score
767,Poderoso Dobrao,Royal Paladin,Calmera,1198,"6,541",Drome Score
768,Dyrisk Hubie,Royal Paladin,Calmera,901,"6,539",Drome Score
768,Lightbinder,Royal Paladin,Secura,2034,"6,539",Drome Score
770,Rockstacker Cleve,Elder Druid,Nevia,1219,"6,538",Drome Score
771,Mateusz Wesoly Muchomorek,Elite Knight,Eclipta,906,"6,536",Drome Score
772,Fake Charlie,Elite Knight,Luminera,1228,"6,535",Drome Score
773,Kenovich,Royal Paladin,Yovera,1282,"6,533",Drome Score
774,Tactical Sekt,Royal Paladin,Talera,1422,"6,526",Drome Score
775,Mandatory Nameshange,Royal Paladin,Monstera,583,"6,524",Drome Score
