Rank,Name,Title,Vocation,World,Level,Points,Category
294,Asta Volia,Enlightened of Tibia,Elder Druid,Secura,509,"7,237",Loyalty Points
296,Pinkcat,Enlightened of Tibia,Master Sorcerer,Zuna,110,"7,235",Loyalty Points
297,Hase,Enlightened of Tibia,Elder Druid,Harmonia,258,"7,231",Loyalty Points
298,Kemati,Enlightened of Tibia,Exalted Monk,Inabra,20,"7,229",Loyalty Points
299,Varathrone,Enlightened of Tibia,Royal Paladin,Antica,783,"7,227",Loyalty Points
300,Sire darkmore,Enlightened of Tibia,Elder Druid,Astera,248,"7,226",Loyalty Points
301,Icy Executer,Enlightened of Tibia,Elder Druid,Premia,1047,"7,223",Loyalty Points
302,Elon Arrowhead,Enlightened of Tibia,Royal Paladin,Menera,342,"7,221",Loyalty Points
303,Doomminus Maximus,Enlightened of Tibia,Royal Paladin,Inabra,247,"7,218",Loyalty Points
304,Edry,Enlightened of Tibia,Master Sorcerer,Astera,202,"7,212",Loyalty Points
304,Luna de Astera,Enlightened of Tibia,Elite Knight,Gladera,511,"7,212",Loyalty Points
306,Mestre Miagi,Enlightened of Tibia,Elder Druid,Talera,133,"7,211",Loyalty Points
306,Ninja Beta,Enlightened of Tibia,Royal Paladin,Calmera,158,"7,211",Loyalty Points
308,Pros Lemenshia,Enlightened of Tibia,Knight,Lobera,8,"7,209",Loyalty Points
308,Ux Fatther,Enlightened of Tibia,Elite Knight,Kalibra,732,"7,209",Loyalty Points
310,Brilliant Sniper,Enlightened of Tibia,Royal Paladin,Lobera,613,"7,207",Loyalty Points
310,Leader of the amazones,Enlightened of Tibia,Elite Knight,Lobera,992,"7,207",Loyalty Points
312,Petitpierot,Enlightened of Tibia,Elite Knight,Astera,196,"7,206",Loyalty Points
313,Zil Edam,Enlightened of Tibia,Royal Paladin,Nefera,213,"7,204",Loyalty Points
314,Ridder de knight,Enlightened of Tibia,Elite Knight,Calmera,205,"7,196",Loyalty Points
315,Seth Knight,Enlightened of Tibia,Elite Knight,Gladera,84,"7,194",Loyalty Points
315,Yudmii Dark,Enlightened of Tibia,Elite Knight,Astera,942,"7,194",Loyalty Points
317,Telial,Enlightened of Tibia,Elite Knight,Secura,156,"7,193",Loyalty Points
318,Pallas,Enlightened of Tibia,Master Sorcerer,Premia,59,"7,192",Loyalty Points
319,Bow Chikabowow,Enlightened of Tibia,Elite Knight,Calmera,781,"7,191",Loyalty Points
320,Satiun Jerius,Enlightened of Tibia,Knight,Menera,10,"7,190",Loyalty Points
320,Skunerx,Enlightened of Tibia,Elite Knight,Belobra,1959,"7,190",Loyalty Points
322,Ferangel,Enlightened of Tibia,Royal Paladin,Bona,2553,"7,183",Loyalty Points
322,Moe The Knight,Enlightened of Tibia,Elite Knight,Nefera,582,"7,183",Loyalty Points
324,Xanadu,Enlightened of Tibia,Royal Paladin,Antica,968,"7,178",Loyalty Points
325,Asombrous Tythz,Enlightened of Tibia,Master Sorcerer,Monza,1303,"7,173",Loyalty Points
326,Attila Oligarch,Enlightened of Tibia,Exalted Monk,Antica,487,"7,172",Loyalty Points
327,Ekaiio,Enlightened of Tibia,Elite Knight,Belobra,1687,"7,170",Loyalty Points
328,Colonel Kloss,Enlightened of Tibia,Elite Knight,Secura,758,"7,167",Loyalty Points
329,Lulatz,Enlightened of Tibia,Elite Knight,Pacera,1075,"7,166",Loyalty Points
329,Narcan,Enlightened of Tibia,Sorcerer,Calmera,8,"7,166",Loyalty Points
329,Sir troy,Enlightened of Tibia,Elite Knight,Antica,244,"7,166",Loyalty Points
332,Mew Mew Echoplex,Enlightened of Tibia,Royal Paladin,Astera,346,"7,164",Loyalty Points
333,Dawox,Enlightened of Tibia,Royal Paladin,Calmera,839,"7,163",Loyalty Points
334,Yakoov,Enlightened of Tibia,Paladin,Luminera,23,"7,157",Loyalty Points
335,Nemes,Enlightened of Tibia,Elite Knight,Antica,387,"7,145",Loyalty Points
336,Jaime Armeiro,Enlightened of Tibia,Elite Knight,Celesta,635,"7,143",Loyalty Points
337,Khaira,Enlightened of Tibia,Elite Knight,Gladera,696,"7,142",Loyalty Points
338,Maurolkit,Enlightened of Tibia,Elite Knight,Secura,1942,"7,141",Loyalty Points
339,Zora Tajargor,Enlightened of Tibia,Elite Knight,Nefera,412,"7,140",Loyalty Points
340,Fates Buddy,Enlightened of Tibia,Master Sorcerer,Pacera,828,"7,137",Loyalty Points
341,Hardcor,Enlightened of Tibia,Sorcerer,Vunira,1193,"7,135",Loyalty Points
342,Gagou,Enlightened of Tibia,Royal Paladin,Secura,478,"7,132",Loyalty Points
343,Rayan Boy,Enlightened of Tibia,Elite Knight,Quidera,435,"7,131",Loyalty Points
343,Szubi Dia,Enlightened of Tibia,Elite Knight,Dia,948,"7,131",Loyalty Points
343,Trinity Tomboy,Enlightened of Tibia,Elder Druid,Etebra,134,"7,131",Loyalty Points
346,Oudje,Enlightened of Tibia,Royal Paladin,Celesta,136,"7,129",Loyalty Points
347,Bah Herminia,Enlightened of Tibia,Elder Druid,Vunira,56,"7,126",Loyalty Points
347,Risn Evil,Enlightened of Tibia,Master Sorcerer,Monstera,80,"7,126",Loyalty Points
349,Fighter Mick,Enlightened of Tibia,Elite Knight,Nefera,391,"7,125",Loyalty Points
350,Thor Ironmask,Enlightened of Tibia,Elder Druid,Menera,172,"7,124",Loyalty Points
351,Royal Ienepien,Enlightened of Tibia,Royal Paladin,Celesta,584,"7,123",Loyalty Points
351,Stan of Nova,Enlightened of Tibia,Elite Knight,Gladera,473,"7,123",Loyalty Points
353,Sir Wilfred Ivanhoe,Enlightened of Tibia,Elite Knight,Nefera,450,"7,119",Loyalty Points
354,Irsu,Enlightened of Tibia,Elder Druid,Bona,479,"7,118",Loyalty Points
354,Odra Kaitywagni,Enlightened of Tibia,Knight,Nefera,40,"7,118",Loyalty Points
354,Pinguin-Soldier,Enlightened of Tibia,Master Sorcerer,Refugia,154,"7,118",Loyalty Points
357,Bratku Boy,Enlightened of Tibia,Royal Paladin,Secura,2157,"7,117",Loyalty Points
358,Jafajafa,Enlightened of Tibia,Druid,Peloria,9,"7,116",Loyalty Points
358,Kexton,Enlightened of Tibia,Elite Knight,Luminera,264,"7,116",Loyalty Points
358,Lady Sylaa,Enlightened of Tibia,Elder Druid,Secura,669,"7,116",Loyalty Points
361,Master patrick fang,Enlightened of Tibia,Master Sorcerer,Gladera,406,"7,112",Loyalty Points
362,Thus Darunblo,Enlightened of Tibia,Elite Knight,Astera,559,"7,108",Loyalty Points
363,Mord,Enlightened of Tibia,Master Sorcerer,Pacera,364,"7,107",Loyalty Points
363,Phester,Enlightened of Tibia,Royal Paladin,Peloria,305,"7,107",Loyalty Points
363,Vica Kateriell,Enlightened of Tibia,Master Sorcerer,Monza,1159,"7,107",Loyalty Points
366,Godwulf,Enlightened of Tibia,Elite Knight,Pacera,477,"7,104",Loyalty Points
367,Thol Feno,Enlightened of Tibia,Elite Knight,Harmonia,891,"7,102",Loyalty Points
368,Storm Executer,Enlightened of Tibia,Master Sorcerer,Thyria,103,"7,101",Loyalty Points
369,Bazil Rathbone,Enlightened of Tibia,Royal Paladin,Pacera,366,"7,100",Loyalty Points
370,Honzo Asashi,Enlightened of Tibia,Exalted Monk,Bravoria,78,"7,092",Loyalty Points
371,Anxious,Enlightened of Tibia,Royal Paladin,Refugia,624,"7,091",Loyalty Points
371,Jorunn,Enlightened of Tibia,Elite Knight,Premia,368,"7,091",Loyalty Points
371,Vames,Enlightened of Tibia,Royal Paladin,Solidera,404,"7,091",Loyalty Points
374,Lerius Arth,Enlightened of Tibia,Elite Knight,Peloria,199,"7,087",Loyalty Points
375,Azaziel,Enlightened of Tibia,Royal Paladin,Gladera,370,"7,081",Loyalty Points
376,Leor Arty,Enlightened of Tibia,None,Astera,30,"7,078",Loyalty Points
377,Anatomiczny Posilek,Enlightened of Tibia,Elite Knight,Thyria,1448,"7,076",Loyalty Points
377,Carpathya,Enlightened of Tibia,None,Bona,31,"7,076",Loyalty Points
377,Cromag,Enlightened of Tibia,Master Sorcerer,Refugia,712,"7,076",Loyalty Points
380,Lady feminine,Enlightened of Tibia,Elder Druid,Nefera,456,"7,075",Loyalty Points
381,Nix De'Lao,Enlightened of Tibia,Master Sorcerer,Belobra,484,"7,074",Loyalty Points
382,Elite Doomist,Enlightened of Tibia,Elite Knight,Premia,364,"7,073",Loyalty Points
383,Filippa on Morgana,Enlightened of Tibia,None,Thyria,2,"7,071",Loyalty Points
384,Mataxi Wonka,Enlightened of Tibia,Elder Druid,Pacera,246,"7,068",Loyalty Points
385,General George Washington,Enlightened of Tibia,Elite Knight,Yovera,117,"7,062",Loyalty Points
386,Oblette,Enlightened of Tibia,Elder Druid,Harmonia,199,"7,060",Loyalty Points
386,Thorallion,Enlightened of Tibia,Elite Knight,Harmonia,277,"7,060",Loyalty Points
388,Monos Cedar,Enlightened of Tibia,Master Sorcerer,Nefera,297,"7,058",Loyalty Points
388,Pi Ramses,Enlightened of Tibia,Elite Knight,Nefera,1265,"7,058",Loyalty Points
390,Sonia Smith,Enlightened of Tibia,Elite Knight,Vunira,387,"7,057",Loyalty Points
391,Tinny Tan,Enlightened of Tibia,Elite Knight,Nefera,142,"7,054",Loyalty Points
392,Master of destruction,Enlightened of Tibia,Master Sorcerer,Premia,1001,"7,052",Loyalty Points
393,Lordganon,Enlightened of Tibia,Master Sorcerer,Pacera,229,"7,048",Loyalty Points
394,Beruck,Enlightened of Tibia,Royal Paladin,Antica,511,"7,046",Loyalty Points
395,Pimpo,Enlightened of Tibia,Knight,Antica,264,"7,044",Loyalty Points
396,Voodoomancer,Enlightened of Tibia,Elder Druid,Antica,502,"7,043",Loyalty Points
397,Davidtje,Enlightened of Tibia,Master Sorcerer,Bona,1347,"7,042",Loyalty Points
398,Shin Adraks,Enlightened of Tibia,Elder Druid,Refugia,613,"7,039",Loyalty Points
399,Tah ligado neeh,Enlightened of Tibia,Knight,Ferobra,8,"7,037",Loyalty Points
400,Minerinvl,Enlightened of Tibia,Elder Druid,Quelibra,1375,"7,034",Loyalty Points
401,Loth Fith,Enlightened of Tibia,Master Sorcerer,Gentebra,401,"7,033",Loyalty Points
402,Kisa the Cat,Enlightened of Tibia,Elite Knight,Calmera,53,"7,031",Loyalty Points
403,Efemeich,Enlightened of Tibia,Elder Druid,Calmera,1180,"7,030",Loyalty Points
404,Javadu,Enlightened of Tibia,Elite Knight,Refugia,116,"7,029",Loyalty Points
404,Majowe,Enlightened of Tibia,Elite Knight,Solidera,251,"7,029",Loyalty Points
406,Lady Aska,Enlightened of Tibia,Elite Knight,Monza,562,"7,028",Loyalty Points
407,Carlay,Enlightened of Tibia,Elder Druid,Secura,456,"7,023",Loyalty Points
408,Luana Zilverheat,Enlightened of Tibia,Master Sorcerer,Secura,650,"7,020",Loyalty Points
408,Master Michael,Enlightened of Tibia,Royal Paladin,Secura,213,"7,020",Loyalty Points
410,Faustino Brabo,Enlightened of Tibia,Master Sorcerer,Celebra,1652,"7,019",Loyalty Points
410,Malathis Guin,Enlightened of Tibia,Elite Knight,Luminera,164,"7,019",Loyalty Points
412,Sados Amak,Enlightened of Tibia,Master Sorcerer,Lobera,81,"7,017",Loyalty Points
412,Wozigot,Enlightened of Tibia,Elite Knight,Solidera,527,"7,017",Loyalty Points
414,Mad Belgian,Enlightened of Tibia,Elite Knight,Monza,382,"7,016",Loyalty Points
415,Kimahri Guildenstern,Enlightened of Tibia,Master Sorcerer,Monza,340,"7,014",Loyalty Points
416,Blackfire Knight,Enlightened of Tibia,Elite Knight,Secura,248,"7,012",Loyalty Points
417,Anne The Witchcrafter,Enlightened of Tibia,Elder Druid,Refugia,297,"7,011",Loyalty Points
418,Dinda Lora,Enlightened of Tibia,Royal Paladin,Gentebra,400,"7,009",Loyalty Points
418,Julth Thort,Enlightened of Tibia,Elite Knight,Kalibra,54,"7,009",Loyalty Points
420,Isaac Sorcerer,Enlightened of Tibia,Master Sorcerer,Refugia,133,"7,007",Loyalty Points
420,Knight of Rafael,Enlightened of Tibia,Elite Knight,Quelibra,1687,"7,007",Loyalty Points
422,Kiki dev,Enlightened of Tibia,Master Sorcerer,Calmera,457,"7,001",Loyalty Points
422,Lady Elizabeth,Enlightened of Tibia,Royal Paladin,Secura,213,"7,001",Loyalty Points
422,Lil Weezyana,Enlightened of Tibia,Elder Druid,Wintera,1326,"7,001",Loyalty Points
425,Buddah Dorthonion,Enlightened of Tibia,Paladin,Peloria,377,"7,000",Loyalty Points
425,Octavian,Enlightened of Tibia,Royal Paladin,Antica,188,"7,000",Loyalty Points
425,Sheikenshin,Enlightened of Tibia,Elite Knight,Astera,868,"7,000",Loyalty Points
428,Belamora,Savant of Tibia,Master Sorcerer,Belobra,733,"6,996",Loyalty Points
428,Pasiffae,Savant of Tibia,Master Sorcerer,Belobra,1741,"6,996",Loyalty Points
430,Mediotha,Savant of Tibia,Elite Knight,Yonabra,1146,"6,993",Loyalty Points
431,Bijou Kidi,Savant of Tibia,Elder Druid,Antica,832,"6,992",Loyalty Points
431,Goplana,Savant of Tibia,Royal Paladin,Secura,307,"6,992",Loyalty Points
433,Barba Blava,Savant of Tibia,Elite Knight,Gladera,30,"6,987",Loyalty Points
434,Aphoros,Savant of Tibia,Elite Knight,Calmera,44,"6,986",Loyalty Points
434,Reddawg,Savant of Tibia,Elder Druid,Stralis,129,"6,986",Loyalty Points
436,Chris Dictador,Savant of Tibia,Royal Paladin,Ombra,2306,"6,985",Loyalty Points
437,Sassir,Savant of Tibia,Royal Paladin,Antica,981,"6,983",Loyalty Points
438,Edinho Rancaprofit,Savant of Tibia,Royal Paladin,Serdebra,2363,"6,981",Loyalty Points
439,Boile,Savant of Tibia,Elite Knight,Vunira,427,"6,979",Loyalty Points
440,Sissela,Savant of Tibia,Elite Knight,Harmonia,295,"6,978",Loyalty Points
441,Craig the knight,Savant of Tibia,Elite Knight,Lobera,938,"6,974",Loyalty Points
441,Gaspa el mago,Savant of Tibia,Sorcerer,Gentebra,192,"6,974",Loyalty Points
443,Linyc,Savant of Tibia,Druid,Gladera,978,"6,970",Loyalty Points
444,Bbosscheck,Savant of Tibia,Sorcerer,Dia,40,"6,969",Loyalty Points
445,Launarumi Stegath,Savant of Tibia,Elite Knight,Menera,100,"6,965",Loyalty Points
445,Nyste,Savant of Tibia,Royal Paladin,Gentebra,631,"6,965",Loyalty Points
447,Articcorz,Savant of Tibia,Master Sorcerer,Pacera,202,"6,963",Loyalty Points
447,Meyerz,Savant of Tibia,Master Sorcerer,Lobera,1069,"6,963",Loyalty Points
449,Diamond Draco,Savant of Tibia,Elite Knight,Menera,363,"6,958",Loyalty Points
450,Archer Aztec,Savant of Tibia,Royal Paladin,Havera,290,"6,957",Loyalty Points
450,Darkeduar,Savant of Tibia,Elite Knight,Pacera,1297,"6,957",Loyalty Points
452,Misterpfloyd,Savant of Tibia,Elite Knight,Astera,519,"6,955",Loyalty Points
452,Trugg,Savant of Tibia,Elite Knight,Quelibra,663,"6,955",Loyalty Points
454,Vaul Zita,Savant of Tibia,Elite Knight,Peloria,660,"6,951",Loyalty Points
455,Rift Duken,Savant of Tibia,Master Sorcerer,Gentebra,2311,"6,948",Loyalty Points
456,Sir Gulith,Savant of Tibia,Elite Knight,Eclipta,736,"6,944",Loyalty Points
457,Mysteriano,Savant of Tibia,Druid,Victoris,12,"6,943",Loyalty Points
458,Velawyn Fyos,Savant of Tibia,Paladin,Refugia,14,"6,942",Loyalty Points
459,Madromesus Dadless,Savant of Tibia,Master Sorcerer,Xyla,163,"6,941",Loyalty Points
460,Ania Bobek,Savant of Tibia,Master Sorcerer,Refugia,320,"6,937",Loyalty Points
460,Insayn ownage,Savant of Tibia,Elite Knight,Lobera,370,"6,937",Loyalty Points
462,Les the Shadow,Savant of Tibia,Elite Knight,Refugia,489,"6,936",Loyalty Points
462,Lord Nudd,Savant of Tibia,Elite Knight,Premia,179,"6,936",Loyalty Points
462,Pocas,Savant of Tibia,Royal Paladin,Luminera,394,"6,936",Loyalty Points
462,Quin ora,Savant of Tibia,Elder Druid,Celesta,146,"6,936",Loyalty Points
462,Strong Dimox,Savant of Tibia,Elder Druid,Secura,864,"6,936",Loyalty Points
467,Saphyra Bonita,Savant of Tibia,Elder Druid,Pacera,486,"6,935",Loyalty Points
468,Miduna Venor,Savant of Tibia,Elder Druid,Menera,465,"6,933",Loyalty Points
469,Hazuta,Savant of Tibia,Royal Paladin,Secura,538,"6,931",Loyalty Points
470,Kadorxis Xaleas,Savant of Tibia,Royal Paladin,Secura,258,"6,930",Loyalty Points
470,Sihid Drakell,Savant of Tibia,Elite Knight,Kalibra,1680,"6,930",Loyalty Points
472,Snovit,Savant of Tibia,Knight,Bona,242,"6,929",Loyalty Points
473,Sophie Emmy,Savant of Tibia,Elite Knight,Calmera,543,"6,927",Loyalty Points
474,Dark-Lich,Savant of Tibia,Sorcerer,Calmera,1415,"6,925",Loyalty Points
474,Gaara Elorial,Savant of Tibia,Druid,Belobra,19,"6,925",Loyalty Points
476,Onyn,Savant of Tibia,Sorcerer,Secura,324,"6,924",Loyalty Points
477,Evilyn,Savant of Tibia,Master Sorcerer,Thyria,98,"6,923",Loyalty Points
477,Rana Tiberon,Savant of Tibia,Elder Druid,Kalibra,1107,"6,923",Loyalty Points
477,Taurionn,Savant of Tibia,Elder Druid,Harmonia,287,"6,923",Loyalty Points
480,Nath Kecorf Points,Savant of Tibia,Druid,Inabra,8,"6,922",Loyalty Points
481,Xannta,Savant of Tibia,Elder Druid,Harmonia,665,"6,919",Loyalty Points
482,Thaygha,Savant of Tibia,Elder Druid,Refugia,97,"6,918",Loyalty Points
483,Girromo,Savant of Tibia,Elite Knight,Antica,56,"6,917",Loyalty Points
484,Pew Pew Vaneraz,Savant of Tibia,Druid,Peloria,51,"6,916",Loyalty Points
485,Lumaj,Savant of Tibia,Royal Paladin,Peloria,1006,"6,909",Loyalty Points
486,Riut,Savant of Tibia,Elder Druid,Celesta,1292,"6,908",Loyalty Points
487,Femuz Darksoul,Savant of Tibia,Elite Knight,Astera,479,"6,907",Loyalty Points
488,Aeld Gulayaron,Savant of Tibia,Elder Druid,Secura,70,"6,906",Loyalty Points
489,Deackoy,Savant of Tibia,Master Sorcerer,Zunera,33,"6,905",Loyalty Points
490,Phearsome,Savant of Tibia,Knight,Havera,744,"6,903",Loyalty Points
490,Szklok,Savant of Tibia,Elite Knight,Luminera,150,"6,903",Loyalty Points
492,Soujiro,Savant of Tibia,Elite Knight,Calmera,665,"6,901",Loyalty Points
493,Dumdum,Savant of Tibia,Elite Knight,Vunira,355,"6,900",Loyalty Points
494,Moran Juvan,Savant of Tibia,Elite Knight,Issobra,76,"6,898",Loyalty Points
494,Venusia,Savant of Tibia,Elite Knight,Secura,497,"6,898",Loyalty Points
496,Magic Kiz,Savant of Tibia,Elite Knight,Nefera,419,"6,897",Loyalty Points
497,Anggiet,Savant of Tibia,Paladin,Lobera,13,"6,895",Loyalty Points
497,Draga Spellcaster,Savant of Tibia,Elder Druid,Nefera,879,"6,895",Loyalty Points
497,Soul Rose,Savant of Tibia,Royal Paladin,Lobera,738,"6,895",Loyalty Points
497,Vaderet,Savant of Tibia,Druid,Oceanis,8,"6,895",Loyalty Points
501,Oscar Kopytko,Savant of Tibia,Royal Paladin,Refugia,541,"6,892",Loyalty Points
502,Nathan Orion,Savant of Tibia,Elite Knight,Havera,305,"6,891",Loyalty Points
503,Arbo Donaga,Savant of Tibia,Elder Druid,Celesta,873,"6,890",Loyalty Points
504,Xande Tuning,Savant of Tibia,Elite Knight,Astera,1128,"6,889",Loyalty Points
505,Eckows,Savant of Tibia,Royal Paladin,Yonabra,1812,"6,887",Loyalty Points
505,Maverix Armada,Savant of Tibia,Royal Paladin,Antica,252,"6,887",Loyalty Points
507,Cosmic Flame,Savant of Tibia,Master Sorcerer,Secura,122,"6,885",Loyalty Points
507,Fany Shan,Savant of Tibia,None,Havera,7,"6,885",Loyalty Points
509,Emerka,Savant of Tibia,Knight,Harmonia,618,"6,884",Loyalty Points
509,Rich Magiczny,Savant of Tibia,Knight,Refugia,8,"6,884",Loyalty Points
511,Back Cobra,Savant of Tibia,None,Talera,20,"6,883",Loyalty Points
511,Elder Wizzy,Savant of Tibia,Elder Druid,Pacera,849,"6,883",Loyalty Points
513,Izamac Camazi,Savant of Tibia,Elite Knight,Pacera,177,"6,882",Loyalty Points
514,Bris Exis,Savant of Tibia,Paladin,Retalia,7,"6,879",Loyalty Points
514,Disciple of Vampyre,Savant of Tibia,None,Lobera,1,"6,879",Loyalty Points
516,Broglio,Savant of Tibia,Elite Knight,Solidera,496,"6,878",Loyalty Points
517,Shadow mirage,Savant of Tibia,Elite Knight,Calmera,809,"6,876",Loyalty Points
518,Low Burnzs,Savant of Tibia,Master Sorcerer,Issobra,1634,"6,873",Loyalty Points
518,Ston Saigo,Savant of Tibia,Sorcerer,Refugia,14,"6,873",Loyalty Points
520,Thor beoni filho,Savant of Tibia,Elite Knight,Belobra,571,"6,872",Loyalty Points
521,Dakkon-Blackblade,Savant of Tibia,Elder Druid,Solidera,256,"6,870",Loyalty Points
522,Spartigus,Savant of Tibia,Elite Knight,Nefera,319,"6,868",Loyalty Points
523,Kate Storm,Savant of Tibia,None,Thyria,29,"6,864",Loyalty Points
524,Leen Leonhart,Savant of Tibia,Master Sorcerer,Celebra,477,"6,863",Loyalty Points
525,Alex sorce,Savant of Tibia,Master Sorcerer,Premia,612,"6,860",Loyalty Points
525,Keni Sorin,Savant of Tibia,Elder Druid,Menera,125,"6,860",Loyalty Points
527,Hendogg,Savant of Tibia,Elder Druid,Eclipta,47,"6,859",Loyalty Points
527,Resoorrector,Savant of Tibia,Elder Druid,Thyria,287,"6,859",Loyalty Points
529,Diaz dos rookgaardos,Savant of Tibia,None,Dia,162,"6,858",Loyalty Points
529,Mit Iron,Savant of Tibia,Elite Knight,Gentebra,2227,"6,858",Loyalty Points
531,Marcelosilveira,Savant of Tibia,Elite Knight,Calmera,146,"6,857",Loyalty Points
532,Dinitric,Savant of Tibia,Master Sorcerer,Lobera,203,"6,855",Loyalty Points
532,Fretyn,Savant of Tibia,Elite Knight,Antica,415,"6,855",Loyalty Points
534,General von Snalhousen,Savant of Tibia,Elder Druid,Premia,130,"6,854",Loyalty Points
534,Shadoweyes,Savant of Tibia,Elite Knight,Premia,310,"6,854",Loyalty Points
536,Ludian,Savant of Tibia,Master Sorcerer,Lobera,51,"6,852",Loyalty Points
537,Beatrix Kiddo,Savant of Tibia,Elder Druid,Serdebra,876,"6,849",Loyalty Points
537,Bruneli Wayne,Savant of Tibia,Elite Knight,Serdebra,2357,"6,849",Loyalty Points
537,Pah Lito,Savant of Tibia,Royal Paladin,Honbra,177,"6,849",Loyalty Points
537,Topinga Quim,Savant of Tibia,Royal Paladin,Nefera,559,"6,849",Loyalty Points
541,Luiakyn,Savant of Tibia,Royal Paladin,Astera,229,"6,846",Loyalty Points
542,Raven Fedla,Savant of Tibia,Elder Druid,Luminera,602,"6,844",Loyalty Points
543,Darkiness,Savant of Tibia,Royal Paladin,Belobra,719,"6,843",Loyalty Points
544,Hephraime,Savant of Tibia,Master Sorcerer,Secura,547,"6,842",Loyalty Points
544,Pris pituska,Savant of Tibia,Royal Paladin,Kalibra,761,"6,842",Loyalty Points
546,Lord Falbala,Savant of Tibia,Elder Druid,Astera,544,"6,841",Loyalty Points
547,Fynno,Savant of Tibia,Elite Knight,Bona,434,"6,840",Loyalty Points
547,Gui-Stigmat,Savant of Tibia,Elite Knight,Gentebra,754,"6,840",Loyalty Points
549,Moises the Dark,Savant of Tibia,Elder Druid,Havera,929,"6,839",Loyalty Points
550,Nienna Telperien,Savant of Tibia,Royal Paladin,Antica,448,"6,837",Loyalty Points
551,Bernadka Mage,Savant of Tibia,Elder Druid,Thyria,432,"6,836",Loyalty Points
551,Darkside the ghost,Savant of Tibia,Elite Knight,Bona,1524,"6,836",Loyalty Points
551,Nathasha rumanenco,Savant of Tibia,Elite Knight,Solidera,373,"6,836",Loyalty Points
554,Forleta,Savant of Tibia,Master Sorcerer,Belobra,1316,"6,833",Loyalty Points
554,Sir Brancaleone,Savant of Tibia,Sorcerer,Peloria,520,"6,833",Loyalty Points
556,Notubu,Savant of Tibia,Sorcerer,Antica,632,"6,832",Loyalty Points
557,Kewhyx Mythus,Savant of Tibia,Royal Paladin,Celebra,2060,"6,831",Loyalty Points
558,Aiken Rush,Savant of Tibia,Royal Paladin,Lobera,1616,"6,830",Loyalty Points
558,Gabrill,Savant of Tibia,Master Sorcerer,Pacera,155,"6,830",Loyalty Points
558,Lilli Karabina,Savant of Tibia,Knight,Thyria,8,"6,830",Loyalty Points
561,Memento Mori Marius,Savant of Tibia,Master Sorcerer,Blumera,787,"6,829",Loyalty Points
562,Kovacsz,Savant of Tibia,Master Sorcerer,Belobra,1988,"6,826",Loyalty Points
562,Laraaa,Savant of Tibia,Elite Knight,Lobera,1218,"6,826",Loyalty Points
562,Nashferatu,Savant of Tibia,Elite Knight,Talera,796,"6,826",Loyalty Points
562,Nerola,Savant of Tibia,Royal Paladin,Peloria,537,"6,826",Loyalty Points
562,Zeus of Celesta,Savant of Tibia,Elite Knight,Celesta,896,"6,826",Loyalty Points
567,Ashmodara,Savant of Tibia,Royal Paladin,Celebra,1608,"6,822",Loyalty Points
567,Jana Zazit,Savant of Tibia,Elite Knight,Harmonia,365,"6,822",Loyalty Points
569,Lord Mutsley,Savant of Tibia,Elite Knight,Serdebra,1036,"6,821",Loyalty Points
570,Misty Golden Hair,Savant of Tibia,Sorcerer,Yovera,28,"6,820",Loyalty Points
571,Super Raunchy,Savant of Tibia,Exalted Monk,Ourobra,130,"6,819",Loyalty Points
572,Eldo Coda,Savant of Tibia,Sorcerer,Sombra,19,"6,818",Loyalty Points
573,Arysa Amiz,Savant of Tibia,Elder Druid,Harmonia,1097,"6,817",Loyalty Points
574,Nalsi Tawyn,Savant of Tibia,Elite Knight,Harmonia,1156,"6,814",Loyalty Points
575,Benji maxs,Savant of Tibia,Elite Knight,Solidera,896,"6,813",Loyalty Points
575,Truitol,Savant of Tibia,Knight,Serdebra,8,"6,813",Loyalty Points
577,Regina costa,Savant of Tibia,Knight,Nefera,504,"6,810",Loyalty Points
578,Synkron,Savant of Tibia,Royal Paladin,Wintera,941,"6,808",Loyalty Points
579,Drax Kong,Savant of Tibia,Elite Knight,Pacera,1267,"6,807",Loyalty Points
579,Margurz,Savant of Tibia,Druid,Ignitera,8,"6,807",Loyalty Points
581,Hirul Dralon,Savant of Tibia,Knight,Gentebra,6,"6,806",Loyalty Points
582,Curandeiro Loyal,Savant of Tibia,Elder Druid,Celebra,991,"6,803",Loyalty Points
583,Joohnlinowar,Savant of Tibia,Elder Druid,Dracobra,342,"6,800",Loyalty Points
584,Asen Yokar,Savant of Tibia,Elite Knight,Gladera,424,"6,799",Loyalty Points
584,Leifmaa,Savant of Tibia,Master Sorcerer,Peloria,871,"6,799",Loyalty Points
586,Apolux,Savant of Tibia,Elite Knight,Menera,270,"6,795",Loyalty Points
587,Leo Vent,Savant of Tibia,Master Sorcerer,Celebra,1540,"6,791",Loyalty Points
588,Hupman,Savant of Tibia,Elite Knight,Vunira,174,"6,790",Loyalty Points
588,Thorngrim,Savant of Tibia,Elite Knight,Secura,482,"6,790",Loyalty Points
590,Digao Implacavel,Savant of Tibia,Elite Knight,Kalibra,2366,"6,789",Loyalty Points
591,Dark Executioner,Savant of Tibia,Elite Knight,Inabra,590,"6,787",Loyalty Points
592,Airos de Sagitario,Savant of Tibia,Royal Paladin,Menera,521,"6,783",Loyalty Points
592,Morangoddess,Savant of Tibia,Elder Druid,Inabra,702,"6,783",Loyalty Points
