Rank,Name,Vocation,World,Level,Score,category,vocation_id
368,Small Sol,Royal Paladin,Monza,1379,"7,729",Drome Score,0
369,Rawiin Kipson,Elite Knight,Astera,666,"7,728",Drome Score,0
370,Roller Coastter,Elder Druid,Talera,1618,"7,724",Drome Score,0
371,Golden Face,Master Sorcerer,Quidera,1136,"7,705",Drome Score,0
372,Lyane,Elder Druid,Belobra,595,"7,702",Drome Score,0
372,Pan Pietrucha,Elite Knight,Nevia,672,"7,702",Drome Score,0
374,Xedotto,Elder Druid,Karmeya,1420,"7,701",Drome Score,0
375,Dolaa,Elite Knight,Bona,828,"7,688",Drome Score,0
376,Wojt Wilkowyje,Elite Knight,Vunira,784,"7,686",Drome Score,0
377,Uriel Simacek,Elite Knight,Kalibra,904,"7,680",Drome Score,0
378,Darkside the ghost,Elite Knight,Bona,1516,"7,678",Drome Score,0
379,Posseidon the Celestic,Elder Druid,Celebra,1127,"7,677",Drome Score,0
380,Vann Zett,Elder Druid,Menera,1919,"7,672",Drome Score,0
381,Reticuli,Royal Paladin,Pacera,690,"7,671",Drome Score,0
382,Black Mirage,Master Sorcerer,Belobra,1300,"7,669",Drome Score,0
383,Pikkoro Junia,Elder Druid,Harmonia,713,"7,668",Drome Score,0
384,Typha,Elite Knight,Astera,652,"7,665",Drome Score,0
385,Dzwoni Daro,Elder Druid,Monza,2039,"7,664",Drome Score,0
386,Nightmage,Master Sorcerer,Yonabra,1072,"7,663",Drome Score,0
387,Ciclone Thunder,Royal Paladin,Honbra,986,"7,655",Drome Score,0
388,Fanfii,Elder Druid,Astera,1737,"7,654",Drome Score,0
389,Sameuly,Elite Knight,Antica,802,"7,641",Drome Score,0
390,Zeeh Chinelo,Master Sorcerer,Celebra,2025,"7,640",Drome Score,0
391,Enraged Adventurer,Elder Druid,Honbra,662,"7,630",Drome Score,0
392,Battmann,Royal Paladin,Harmonia,621,"7,615",Drome Score,0
393,Natarius Scotfield,Elite Knight,Astera,613,"7,610",Drome Score,0
394,Kamastinx,Elite Knight,Antica,938,"7,602",Drome Score,0
395,Adam Malysh,Elder Druid,Celesta,1784,"7,598",Drome Score,0
396,Arroz Con Queso,Elite Knight,Havera,1060,"7,595",Drome Score,0
397,Dragonidas,Master Sorcerer,Monza,1512,"7,591",Drome Score,0
398,Soulfrail,Elder Druid,Celesta,1177,"7,588",Drome Score,0
399,Abbysz,Elder Druid,Solidera,942,"7,583",Drome Score,0
400,Naruciaczek,Royal Paladin,Celesta,1934,"7,581",Drome Score,0
400,Zen Ki Insane,Master Sorcerer,Menera,1552,"7,581",Drome Score,0
402,Ghost of Chimera,Royal Paladin,Solidera,1705,"7,575",Drome Score,0
403,Skushy,Master Sorcerer,Inabra,1033,"7,573",Drome Score,0
404,Darkness Miss Lalatina,Elite Knight,Secura,1559,"7,565",Drome Score,0
405,Brenin Golpista,Royal Paladin,Etebra,1596,"7,560",Drome Score,0
406,Screeno,Royal Paladin,Bona,1593,"7,551",Drome Score,0
407,Wrath Saga,Elite Knight,Gladera,2072,"7,543",Drome Score,0
408,Darkeduar,Elite Knight,Pacera,1290,"7,541",Drome Score,0
409,Seymour Blood,Master Sorcerer,Nevia,1375,"7,534",Drome Score,0
410,Maurolkit,Elite Knight,Secura,1922,"7,533",Drome Score,0
411,Kenshiro Guts,Elite Knight,Inabra,1187,"7,528",Drome Score,0
412,Hardflipsz,Elite Knight,Pacera,782,"7,524",Drome Score,0
413,Sawano Hiroyuki,Royal Paladin,Yonabra,2155,"7,522",Drome Score,0
414,Bellshezzar King,Royal Paladin,Belobra,1169,"7,521",Drome Score,0
415,Rudi Healer,Elder Druid,Peloria,664,"7,516",Drome Score,0
416,Sir Knoxville Slayer,Elite Knight,Celesta,767,"7,514",Drome Score,0
417,Ares Royale,Royal Paladin,Thyria,1197,"7,512",Drome Score,0
417,Eksman,Master Sorcerer,Monza,2144,"7,512",Drome Score,0
417,Majorowa,Elite Knight,Karmeya,2238,"7,512",Drome Score,0
420,Natalka Zakochana,Elder Druid,Harmonia,1299,"7,511",Drome Score,0
421,Tecek,Royal Paladin,Refugia,2270,"7,510",Drome Score,0
422,Apok Kryz,Elite Knight,Talera,1474,"7,501",Drome Score,0
423,Fllawlless Victory,Royal Paladin,Pacera,1190,"7,499",Drome Score,0
424,Loky Storm,Elder Druid,Havera,1181,"7,496",Drome Score,0
424,Surrkaam,Elder Druid,Astera,1584,"7,496",Drome Score,0
426,Lord Zilez,Master Sorcerer,Vunira,1085,"7,487",Drome Score,0
427,Rafittzz,Master Sorcerer,Belobra,2054,"7,481",Drome Score,0
428,Heinzinki,Master Sorcerer,Vunira,1895,"7,477",Drome Score,0
428,White hair,Master Sorcerer,Refugia,796,"7,477",Drome Score,0
430,Async,Elder Druid,Harmonia,1422,"7,476",Drome Score,0
431,Mandatory Namecheiingi,Royal Paladin,Gravitera,1431,"7,475",Drome Score,0
432,Bon de,Elder Druid,Ferobra,1507,"7,464",Drome Score,0
432,Turco Loko,Royal Paladin,Inabra,2078,"7,464",Drome Score,0
434,Pangping,Royal Paladin,Karmeya,1395,"7,461",Drome Score,0
435,Ray Pakamil,Royal Paladin,Retalia,594,"7,455",Drome Score,0
436,Avkell,Royal Paladin,Gentebra,1086,"7,453",Drome Score,0
437,Sheng,Elder Druid,Yonabra,2134,"7,441",Drome Score,0
438,Max Fleury,Elite Knight,Celebra,2087,"7,437",Drome Score,0
439,Venoxd,Royal Paladin,Nefera,1738,"7,435",Drome Score,0
440,Miojo Doido,Master Sorcerer,Gentebra,1652,"7,432",Drome Score,0
441,Mit Iron,Elite Knight,Gentebra,2198,"7,422",Drome Score,0
442,Magnifik Danyveiosair,Paladin,Inabra,1813,"7,418",Drome Score,0
443,Fernandinho from Fortera,Elder Druid,Gladibra,1104,"7,411",Drome Score,0
444,Nershil,Elite Knight,Secura,1003,"7,410",Drome Score,0
445,Kalumi,Elder Druid,Solidera,664,"7,406",Drome Score,0
446,Antonylima,Elite Knight,Ferobra,787,"7,402",Drome Score,0
447,Jand Supremoo,Elite Knight,Jadebra,1964,"7,398",Drome Score,0
448,Patip,Elder Druid,Peloria,995,"7,393",Drome Score,0
449,Ivene,Royal Paladin,Celesta,2030,"7,381",Drome Score,0
450,Knight Davin,Elite Knight,Quelibra,1428,"7,379",Drome Score,0
451,Doug Devasso,Elite Knight,Collabra,1848,"7,374",Drome Score,0
452,Supridokk,Master Sorcerer,Gravitera,645,"7,371",Drome Score,0
453,Gapiru,Elite Knight,Secura,1056,"7,369",Drome Score,0
454,Relaxado Do Corre,Royal Paladin,Rasteibra,1869,"7,353",Drome Score,0
455,Kultury,Royal Paladin,Refugia,1546,"7,347",Drome Score,0
456,Pavaks,Elder Druid,Monza,1984,"7,345",Drome Score,0
457,Knight Emmanuel,Elite Knight,Gentebra,1507,"7,331",Drome Score,0
458,Rowen,Elite Knight,Solidera,1712,"7,327",Drome Score,0
459,Luiix,Royal Paladin,Ustebra,1612,"7,324",Drome Score,0
459,Saydaan,Elder Druid,Refugia,1238,"7,324",Drome Score,0
461,Leah Leaf,Elite Knight,Solidera,502,"7,318",Drome Score,0
462,Hessik,Elite Knight,Thyria,755,"7,313",Drome Score,0
463,Mathewziin,Elite Knight,Quelibra,1402,"7,312",Drome Score,0
464,Lau-Nel,Elder Druid,Refugia,1405,"7,307",Drome Score,0
465,Cellio,Master Sorcerer,Rasteibra,1609,"7,306",Drome Score,0
466,Kasik Magnat,Royal Paladin,Malivora,1433,"7,302",Drome Score,0
467,The Major,Elder Druid,Vunira,1414,"7,295",Drome Score,0
468,Alexh con Hat,Royal Paladin,Talera,1678,"7,292",Drome Score,0
469,Barri Insane,Elite Knight,Menera,1654,"7,286",Drome Score,0
469,Pamellax,Elder Druid,Kalibra,1329,"7,286",Drome Score,0
471,Cavots,Elite Knight,Ustebra,1017,"7,282",Drome Score,0
471,Geek Sonyc kent,Elite Knight,Calmera,1002,"7,282",Drome Score,0
473,Sio Rumak,Elder Druid,Xyla,1326,"7,280",Drome Score,0
474,Salsa Agridoce,Royal Paladin,Oceanis,1384,"7,275",Drome Score,0
475,Rzeznik Wedliniarz,Elite Knight,Secura,1430,"7,268",Drome Score,0
476,Dellani,Elder Druid,Celebra,1783,"7,266",Drome Score,0
477,Leimar,Royal Paladin,Secura,1014,"7,263",Drome Score,0
478,Fire Draggon,Elite Knight,Quintera,1313,"7,258",Drome Score,0
479,Szwagier Gregor,Master Sorcerer,Xyla,1381,"7,257",Drome Score,0
480,Nakkamas,Elite Knight,Talera,1031,"7,256",Drome Score,0
481,Nott Primetime,Royal Paladin,Descubra,2146,"7,254",Drome Score,0
482,Hashpreps,Royal Paladin,Celebra,1090,"7,253",Drome Score,0
483,Master Wildedge,Master Sorcerer,Serdebra,684,"7,252",Drome Score,0
484,Bratku Boy,Royal Paladin,Secura,2152,"7,251",Drome Score,0
485,Vand Woodstock,Elder Druid,Inabra,1017,"7,250",Drome Score,0
486,Gonyxz,Master Sorcerer,Inabra,1201,"7,249",Drome Score,0
487,Goofy Goofus,Elite Knight,Jadebra,1071,"7,247",Drome Score,0
488,Flopt,Master Sorcerer,Belobra,864,"7,243",Drome Score,0
488,Pal Capone,Royal Paladin,Secura,1951,"7,243",Drome Score,0
490,Vicyous,Elite Knight,Calmera,1603,"7,242",Drome Score,0
491,Bruzanas,Elite Knight,Quidera,1413,"7,241",Drome Score,0
492,Dark Leoz,Master Sorcerer,Gentebra,750,"7,235",Drome Score,0
493,Zythnoc,Elder Druid,Quidera,945,"7,232",Drome Score,0
494,Closedfriends Cebola,Royal Paladin,Jadebra,1559,"7,228",Drome Score,0
495,Shaxa Shan,Elite Knight,Astera,648,"7,223",Drome Score,0
496,Itoow,Royal Paladin,Belobra,571,"7,219",Drome Score,0
497,Serea Daen,Royal Paladin,Solidera,630,"7,218",Drome Score,0
498,After sun lotion,Elder Druid,Vunira,1032,"7,212",Drome Score,0
499,Ronexy,Royal Paladin,Celebra,1656,"7,210",Drome Score,0
500,Nanekzin,Royal Paladin,Jadebra,1004,"7,202",Drome Score,0
501,Ceso,Elite Knight,Monza,1060,"7,198",Drome Score,0
502,Knight do Guga,Elite Knight,Nefera,776,"7,189",Drome Score,0
503,Bald Bolter,Royal Paladin,Peloria,500,"7,187",Drome Score,0
504,Pearl Stark,Royal Paladin,Gladera,671,"7,186",Drome Score,0
505,Nikovka,Elder Druid,Secura,934,"7,183",Drome Score,0
506,Headshotter,Royal Paladin,Kalibra,592,"7,178",Drome Score,0
507,Dreams,Elder Druid,Yonabra,1361,"7,174",Drome Score,0
508,Camann Casad,Elite Knight,Harmonia,751,"7,172",Drome Score,0
509,Hatie,Elite Knight,Monza,1776,"7,171",Drome Score,0
510,Juh Barbous,Elder Druid,Descubra,1628,"7,166",Drome Score,0
511,Poke Corporation,Royal Paladin,Issobra,2392,"7,164",Drome Score,0
512,Arbo Donaga,Elder Druid,Celesta,873,"7,163",Drome Score,0
513,Antigeno,Elite Knight,Pacera,1044,"7,160",Drome Score,0
514,Poczesany,Paladin,Thyria,1114,"7,152",Drome Score,0
515,Czikita,Elder Druid,Secura,2053,"7,149",Drome Score,0
516,Thouji,Master Sorcerer,Calmera,1790,"7,148",Drome Score,0
517,Zainzao,Elder Druid,Descubra,2181,"7,147",Drome Score,0
517,Zeze Careca,Elite Knight,Xyla,870,"7,147",Drome Score,0
519,Woman Spia,Royal Paladin,Quintera,1181,"7,136",Drome Score,0
520,Vith Tyrathores,Elite Knight,Solidera,432,"7,130",Drome Score,0
521,Lady Czekalski,Royal Paladin,Ombra,832,"7,124",Drome Score,0
521,Tiao Pancada,Elite Knight,Celebra,1664,"7,124",Drome Score,0
523,Fenomenalny Tonnek,Master Sorcerer,Harmonia,926,"7,123",Drome Score,0
524,Fleth Tyron,Elite Knight,Peloria,628,"7,121",Drome Score,0
524,The Grimfire,Royal Paladin,Nefera,1450,"7,121",Drome Score,0
526,Banshee Slayer,Elite Knight,Calmera,612,"7,115",Drome Score,0
527,Meatbow,Royal Paladin,Epoca,1738,"7,112",Drome Score,0
528,Stredimus,Master Sorcerer,Gladera,1010,"7,111",Drome Score,0
529,Baronkz,Royal Paladin,Bona,1049,"7,108",Drome Score,0
529,Sofyzikat,Master Sorcerer,Thyria,1275,"7,108",Drome Score,0
531,Raijiin,Master Sorcerer,Lobera,600,"7,107",Drome Score,0
531,Theron Darax,Elite Knight,Yonabra,1487,"7,107",Drome Score,0
533,Ninja Knoub,Elite Knight,Descubra,1891,"7,102",Drome Score,0
534,Dudopix Corp,Royal Paladin,Ferobra,1905,"7,100",Drome Score,0
535,Gutierrezs,Elder Druid,Gentebra,2387,"7,098",Drome Score,0
535,Nimuezinha,Elite Knight,Gentebra,722,"7,098",Drome Score,0
537,Guilebass,Paladin,Menera,1043,"7,094",Drome Score,0
538,Ninja Zayat,Royal Paladin,Honbra,717,"7,089",Drome Score,0
539,Soul jail,Elite Knight,Vunira,609,"7,087",Drome Score,0
540,Nefii,Royal Paladin,Nefera,924,"7,085",Drome Score,0
541,Gogrex,Royal Paladin,Xyla,1239,"7,075",Drome Score,0
542,Nitroks,Elite Knight,Astera,1015,"7,069",Drome Score,0
543,Exilum,Elite Knight,Menera,801,"7,062",Drome Score,0
544,Marin Downgraded,Elite Knight,Ustebra,1640,"7,058",Drome Score,0
545,Ogum Warrior,Elite Knight,Astera,1093,"7,053",Drome Score,0
546,Elder Takt,Elder Druid,Astera,1436,"7,049",Drome Score,0
547,Aeranthir,Royal Paladin,Lobera,853,"7,044",Drome Score,0
548,Roffa The King,Elite Knight,Vunira,1588,"7,041",Drome Score,0
549,Clay Bloodsoul,Elite Knight,Astera,1503,"7,032",Drome Score,0
550,Mannimarc,Elite Knight,Kalibra,1415,"7,031",Drome Score,0
551,Dovath,Royal Paladin,Premia,1009,"7,030",Drome Score,0
551,Magic Egoist,Royal Paladin,Astera,1346,"7,030",Drome Score,0
553,Amjz,Royal Paladin,Quidera,923,"7,028",Drome Score,0
554,Cronyco,Elite Knight,Refugia,1411,"7,024",Drome Score,0
555,Hexed,Royal Paladin,Kalibra,1303,"7,023",Drome Score,0
556,Kee mo,Master Sorcerer,Retalia,1080,"7,022",Drome Score,0
556,Kruuks,Royal Paladin,Refugia,1570,"7,022",Drome Score,0
558,Galll,Elite Knight,Gentebra,2653,"7,013",Drome Score,0
559,Ashalor Razno,Elite Knight,Nefera,884,"7,012",Drome Score,0
560,Vextoor,Master Sorcerer,Serdebra,1501,"7,011",Drome Score,0
561,Terra Pitbulldo Manguin,Royal Paladin,Ombra,1575,"7,010",Drome Score,0
562,Anonxe,Royal Paladin,Nevia,1648,"7,006",Drome Score,0
562,Shepherd of Wolves,Royal Paladin,Refugia,494,"7,006",Drome Score,0
564,Tchaaa,Elder Druid,Gentebra,1915,"7,005",Drome Score,0
565,Awdy,Elite Knight,Firmera,1267,"6,998",Drome Score,0
565,Keenghi,Elder Druid,Karmeya,1916,"6,998",Drome Score,0
567,The Lek,Royal Paladin,Astera,1487,"6,997",Drome Score,0
567,Toshiii,Master Sorcerer,Gentebra,1787,"6,997",Drome Score,0
569,Aeriz,Elite Knight,Antica,611,"6,995",Drome Score,0
569,Kingzoorr,Elder Druid,Issobra,1753,"6,995",Drome Score,0
571,Czterolistny Pajak,Elite Knight,Refugia,1164,"6,994",Drome Score,0
572,Chimolina,Elder Druid,Harmonia,1156,"6,991",Drome Score,0
573,Aner Elot,Elite Knight,Talera,943,"6,987",Drome Score,0
573,Shisui Attack,Royal Paladin,Ourobra,1079,"6,987",Drome Score,0
575,Rawiro,Master Sorcerer,Havera,884,"6,982",Drome Score,0
576,Nightmare Delas,Elite Knight,Gentebra,1204,"6,974",Drome Score,0
577,Jefe Implash,Royal Paladin,Wintera,1356,"6,971",Drome Score,0
578,Hyooga,Master Sorcerer,Nevia,1582,"6,970",Drome Score,0
579,Davidzinhow,Elder Druid,Rasteibra,1904,"6,966",Drome Score,0
580,Aserys,Elite Knight,Rasteibra,1375,"6,958",Drome Score,0
581,Dear Daisy,Elite Knight,Quidera,630,"6,957",Drome Score,0
582,Hipiduli,Elder Druid,Astera,1069,"6,954",Drome Score,0
582,Kairuz,Elite Knight,Lutabra,1618,"6,954",Drome Score,0
584,Baztet,Elder Druid,Luminera,1177,"6,946",Drome Score,0
585,Seguroth,Elite Knight,Harmonia,538,"6,944",Drome Score,0
586,Luziadas,Elite Knight,Menera,1268,"6,943",Drome Score,0
587,Bruwkz Mercenary,Elite Knight,Quelibra,1363,"6,942",Drome Score,0
588,Ahoky,Master Sorcerer,Solidera,1708,"6,938",Drome Score,0
589,Que Jin,Elder Druid,Serdebra,1572,"6,936",Drome Score,0
590,Wa'las,Elite Knight,Monza,1090,"6,935",Drome Score,0
591,Evkall,Master Sorcerer,Gentebra,888,"6,931",Drome Score,0
592,Dardar Zamoldimor,Royal Paladin,Celesta,976,"6,927",Drome Score,0
593,Apenas Dellani,Elder Druid,Celebra,1734,"6,924",Drome Score,0
593,Diex Cocoquillo,Master Sorcerer,Talera,740,"6,924",Drome Score,0
595,Alioco,Elite Knight,Descubra,646,"6,914",Drome Score,0
596,Barelor,Elder Druid,Collabra,1833,"6,913",Drome Score,0
596,Duguinha,Elder Druid,Issobra,1111,"6,913",Drome Score,0
598,Lord Mutsley,Elite Knight,Serdebra,1011,"6,906",Drome Score,0
599,Kiingdom,Master Sorcerer,Yovera,1774,"6,903",Drome Score,0
600,Walt Warz,Elder Druid,Vunira,1361,"6,899",Drome Score,0
601,Ezommmmmm Maammmmmm Kuammmmmm,Royal Paladin,Nevia,1839,"6,886",Drome Score,0
602,Roadster Kitad,Elite Knight,Talera,1491,"6,885",Drome Score,0
602,Valiiant krzychu,Royal Paladin,Secura,1241,"6,885",Drome Score,0
604,Tyo Rogi,Master Sorcerer,Lutabra,1412,"6,884",Drome Score,0
604,Zoxxe,Elder Druid,Peloria,601,"6,884",Drome Score,0
606,Amzte,Royal Paladin,Kalibra,1417,"6,883",Drome Score,0
607,Greamir,Master Sorcerer,Celesta,2155,"6,882",Drome Score,0
608,Darkside Rafa,Elite Knight,Gladera,1026,"6,880",Drome Score,0
609,Volta Mcfish,Elder Druid,Menera,1475,"6,875",Drome Score,0
610,Xigix,Master Sorcerer,Luminera,1771,"6,871",Drome Score,0
611,Shiro Yaksha,Elite Knight,Vunira,760,"6,870",Drome Score,0
612,Elite Maister,Elite Knight,Premia,1038,"6,869",Drome Score,0
613,Mighty Rune,Elite Knight,Celesta,1952,"6,868",Drome Score,0
614,Demon Joselita,Royal Paladin,Quelibra,1150,"6,867",Drome Score,0
615,Highflxyerk,Elite Knight,Quidera,1759,"6,859",Drome Score,0
616,Ostabil,Royal Paladin,Epoca,1312,"6,858",Drome Score,0
617,Miini Adus,Elder Druid,Malivora,1321,"6,857",Drome Score,0
618,Matson First,Royal Paladin,Xyla,935,"6,854",Drome Score,0
618,Sami Xolico,Master Sorcerer,Antica,421,"6,854",Drome Score,0
618,Zerdux,Elder Druid,Refugia,1225,"6,854",Drome Score,0
621,Chris Dictador,Royal Paladin,Ombra,2266,"6,847",Drome Score,0
621,King Peruviann,Elite Knight,Antica,704,"6,847",Drome Score,0
623,Argamiim,Elite Knight,Yonabra,1310,"6,846",Drome Score,0
623,Mi Shadday,Royal Paladin,Quidera,873,"6,846",Drome Score,0
623,Yinlay,Elite Knight,Nevia,983,"6,846",Drome Score,0
626,Cencik Druid,Elder Druid,Refugia,899,"6,845",Drome Score,0
627,Almighty Nova,Royal Paladin,Wintera,2172,"6,844",Drome Score,0
627,Polly Rockt Knight,Elite Knight,Calmera,742,"6,844",Drome Score,0
629,Viny Xintrex,Royal Paladin,Havera,1280,"6,839",Drome Score,0
630,Scorpionnegro,Royal Paladin,Menera,1690,"6,835",Drome Score,0
631,Kilseno,Royal Paladin,Secura,1262,"6,834",Drome Score,0
631,Ominae Yu,Elite Knight,Yonabra,1725,"6,834",Drome Score,0
633,Virtush Awesome,Elite Knight,Zunera,1392,"6,829",Drome Score,0
634,Niku Nesi,Elite Knight,Pacera,1780,"6,822",Drome Score,0
635,Lady Clique,Elder Druid,Secura,868,"6,820",Drome Score,0
635,Rysiu Najszybszy Bolt,Royal Paladin,Nevia,1240,"6,820",Drome Score,0
635,Teco Exausto,Elite Knight,Luminera,1463,"6,820",Drome Score,0
638,Smoker,Royal Paladin,Serdebra,1703,"6,815",Drome Score,0
639,Urek San,Royal Paladin,Venebra,860,"6,814",Drome Score,0
640,Czarujacyy,Master Sorcerer,Karmeya,1434,"6,804",Drome Score,0
640,Lady Iselii,Master Sorcerer,Harmonia,931,"6,804",Drome Score,0
642,Cardinale Habby,Royal Paladin,Peloria,953,"6,793",Drome Score,0
643,Tex Pancadao,Royal Paladin,Yonabra,1268,"6,789",Drome Score,0
644,Mustzinho,Elder Druid,Venebra,1771,"6,788",Drome Score,0
645,Primo Fibrado,Elite Knight,Serdebra,1249,"6,784",Drome Score,0
646,Lovens,Elite Knight,Secura,1064,"6,783",Drome Score,0
647,Krisu,Royal Paladin,Xyla,1674,"6,782",Drome Score,0
647,Yalthus,Elder Druid,Yonabra,1360,"6,782",Drome Score,0
649,Old Noe,Royal Paladin,Secura,1959,"6,781",Drome Score,0
650,Ciemnyez,Elite Knight,Venebra,1808,"6,780",Drome Score,0
650,Demon of Shadon,Elite Knight,Secura,1504,"6,780",Drome Score,0
652,Lady Yiinaa,Royal Paladin,Nefera,1636,"6,771",Drome Score,0
652,Moldoz,Elder Druid,Antica,703,"6,771",Drome Score,0
654,Janeer,Elite Knight,Quintera,1543,"6,770",Drome Score,0
655,Ke vinho,Elder Druid,Gentebra,2715,"6,764",Drome Score,0
656,Shining Horseman,Elite Knight,Talera,672,"6,762",Drome Score,0
657,Temari Archer,Royal Paladin,Refugia,1461,"6,761",Drome Score,0
658,Doughsz,Royal Paladin,Ferobra,1577,"6,751",Drome Score,0
658,Ficoq Limitado,Royal Paladin,Quintera,1259,"6,751",Drome Score,0
660,Zohry,Elite Knight,Belobra,836,"6,745",Drome Score,0
661,Scorpion Insane,Royal Paladin,Wintera,912,"6,743",Drome Score,0
662,Gueroba Goiano,Elite Knight,Inabra,1046,"6,740",Drome Score,0
663,Eleox sky,Royal Paladin,Solidera,404,"6,736",Drome Score,0
664,Domenichellii,Master Sorcerer,Kalibra,1775,"6,731",Drome Score,0
665,Hecks Leads,Elder Druid,Luminera,2079,"6,730",Drome Score,0
665,Marugo,Master Sorcerer,Collabra,1839,"6,730",Drome Score,0
665,Sagan Carl,Master Sorcerer,Menera,656,"6,730",Drome Score,0
668,Anilde,Royal Paladin,Antica,1377,"6,723",Drome Score,0
668,Shidden Imbativel,Elder Druid,Gladibra,604,"6,723",Drome Score,0
670,Drunk Jim Lahey,Elite Knight,Bona,1128,"6,721",Drome Score,0
671,Dat Pedrak,Elder Druid,Antica,1885,"6,720",Drome Score,0
672,Lefay,Master Sorcerer,Honbra,1914,"6,718",Drome Score,0
673,Gutzim,Knight,Inabra,803,"6,712",Drome Score,0
674,Selibess,Elite Knight,Dia,1921,"6,706",Drome Score,0
675,Nalsi Tawyn,Elite Knight,Harmonia,1149,"6,704",Drome Score,0
676,Magico Druida,Elder Druid,Zunera,596,"6,703",Drome Score,0
677,Junior Inda House,Elite Knight,Xyla,512,"6,702",Drome Score,0
678,Pedrin Feliznatal,Royal Paladin,Ourobra,2059,"6,701",Drome Score,0
678,Triu Verix,Royal Paladin,Premia,936,"6,701",Drome Score,0
680,Durandal of Valor,Elder Druid,Secura,961,"6,688",Drome Score,0
680,Iron Paladyn,Royal Paladin,Lobera,1274,"6,688",Drome Score,0
682,Younis,Elite Knight,Premia,1145,"6,686",Drome Score,0
683,Pzadilla the shihan,Royal Paladin,Quintera,1566,"6,682",Drome Score,0
684,Txokolate,Royal Paladin,Rasteibra,1314,"6,676",Drome Score,0
685,Zordko,Royal Paladin,Gentebra,1197,"6,671",Drome Score,0
686,Solitario of road,Elite Knight,Solidera,542,"6,670",Drome Score,0
687,Pupuliukas,Royal Paladin,Antica,1333,"6,664",Drome Score,0
688,Joyx,Elder Druid,Celebra,1244,"6,655",Drome Score,0
689,Carlao Zedrin,Royal Paladin,Ourobra,1228,"6,654",Drome Score,0
690,Edbu,Royal Paladin,Quintera,1405,"6,645",Drome Score,0
690,Thalento,Royal Paladin,Ombra,1398,"6,645",Drome Score,0
692,Gabe Um,Master Sorcerer,Belobra,1849,"6,641",Drome Score,0
692,Trevligtbradag,Royal Paladin,Malivora,948,"6,641",Drome Score,0
694,Rabada com Agriao,Elite Knight,Gladera,781,"6,638",Drome Score,0
695,Lazy Tytanka,Elite Knight,Secura,1026,"6,635",Drome Score,0
696,Brossaud,Elder Druid,Venebra,1528,"6,629",Drome Score,0
697,Kael do Wex,Master Sorcerer,Belobra,1554,"6,626",Drome Score,0
697,Lutador de Mace,Elite Knight,Gentebra,1954,"6,626",Drome Score,0
699,Izumo Striker,Royal Paladin,Ourobra,1256,"6,618",Drome Score,0
700,Highmage Hidden,Master Sorcerer,Yonabra,1845,"6,616",Drome Score,0
701,Koztos,Elite Knight,Secura,887,"6,615",Drome Score,0
702,Fer Di,Elder Druid,Inabra,972,"6,614",Drome Score,0
703,Najsumare,Knight,Nevia,820,"6,610",Drome Score,0
704,Gabrielito,Elite Knight,Nefera,1572,"6,608",Drome Score,0
705,Tha,Master Sorcerer,Yonabra,744,"6,605",Drome Score,0
706,Miss Petetoo,Elite Knight,Nevia,1156,"6,602",Drome Score,0
707,Rubbet Xbow,Royal Paladin,Retalia,479,"6,594",Drome Score,0
708,King Danter,Elite Knight,Celesta,2394,"6,591",Drome Score,0
709,Felipinho Shocknelas,Elite Knight,Gladibra,1379,"6,590",Drome Score,0
709,Remarkable Deco,Master Sorcerer,Inabra,1725,"6,590",Drome Score,0
711,Kinobal,Elite Knight,Oceanis,1703,"6,584",Drome Score,0
712,Bruno is Back,Elite Knight,Ferobra,1347,"6,581",Drome Score,0
712,Sweaty Kamish,Elite Knight,Secura,932,"6,581",Drome Score,0
714,Lubelovsky,Elite Knight,Dia,1688,"6,578",Drome Score,0
715,Lucia Nidderiea,Elder Druid,Thyria,1187,"6,576",Drome Score,0
716,Furious Pobre,Elite Knight,Oceanis,1130,"6,573",Drome Score,0
717,Wikadny,Master Sorcerer,Secura,991,"6,570",Drome Score,0
718,Waguinho The Legend,Elder Druid,Quelibra,2086,"6,564",Drome Score,0
719,Giant Bobo,Royal Paladin,Monza,444,"6,558",Drome Score,0
720,Dragonidez,Elite Knight,Monza,972,"6,553",Drome Score,0
721,Grigao Alppcinio,Royal Paladin,Ombra,1326,"6,548",Drome Score,0
722,Poderoso Dobrao,Royal Paladin,Calmera,1195,"6,541",Drome Score,0
723,Palaciror,Royal Paladin,Secura,2039,"6,539",Drome Score,0
724,Jed Bartlet,Royal Paladin,Antica,1294,"6,538",Drome Score,0
725,Marcus Eon,Elite Knight,Thyria,907,"6,537",Drome Score,0
726,Samhain Dreyar,Elite Knight,Calmera,782,"6,534",Drome Score,0
727,Tarmon Gai Don,Elder Druid,Peloria,1284,"6,527",Drome Score,0
728,Tactical Sekt,Royal Paladin,Talera,1407,"6,526",Drome Score,0
729,Crypth,Elite Knight,Antica,504,"6,525",Drome Score,0
730,Zarem Wick,Elite Knight,Havera,1139,"6,519",Drome Score,0
731,Paranoikii,Royal Paladin,Astera,1328,"6,511",Drome Score,0
732,Aruarian Druid,Elder Druid,Menera,1440,"6,509",Drome Score,0
732,Yena Rudais,Elite Knight,Lobera,272,"6,509",Drome Score,0
734,Fean Delusak,Elite Knight,Bona,717,"6,506",Drome Score,0
735,Headshot Qazq,Elite Knight,Gravitera,1245,"6,503",Drome Score,0
736,Sir Dzidek,Royal Paladin,Calmera,635,"6,501",Drome Score,0
