,name,world,skill_name,vocation,skill_level,updated_at
1734,Majki Spajki,harmonia,Magic Level,master sorcerer,129,2026-01-26 19:04:26.054883
1735,Marcinosss,harmonia,Magic Level,master sorcerer,130,2026-01-26 19:04:26.054883
1736,Master Truski,harmonia,Magic Level,master sorcerer,140,2026-01-26 19:04:26.054883
1737,Mechatronic,harmonia,Sword Fighting,elite knight,137,2026-01-26 19:04:26.054883
1738,Mecoo,harmonia,Club Fighting,elite knight,125,2026-01-26 19:04:26.054883
1739,Mekin Monk,harmonia,Fist Fighting,exalted monk,113,2026-01-26 19:04:26.054883
1740,Mellar,harmonia,Distance Fighting,royal paladin,134,2026-01-26 19:04:26.054883
1741,Meniia,harmonia,Sword Fighting,elite knight,135,2026-01-26 19:04:26.054883
1742,Meyver,harmonia,Sword Fighting,elite knight,130,2026-01-26 19:04:26.054883
1743,Mi Sioo,harmonia,Distance Fighting,royal paladin,139,2026-01-26 19:04:26.054883
1744,Michael Devil,harmonia,Sword Fighting,elite knight,132,2026-01-26 19:04:26.054883
1745,Mister Dec,harmonia,Magic Level,master sorcerer,128,2026-01-26 19:04:26.054883
1746,Monksisty,harmonia,Fist Fighting,exalted monk,111,2026-01-26 19:04:26.054883
1747,Moon Jern,harmonia,Club Fighting,elite knight,127,2026-01-26 19:04:26.054883
1748,Mord Deiv,harmonia,Magic Level,master sorcerer,132,2026-01-26 19:04:26.054883
1749,Nalsi Tawyn,harmonia,Sword Fighting,elite knight,130,2026-01-26 19:04:26.054883
1750,Naro Krux,harmonia,Sword Fighting,knight,131,2026-01-26 19:04:26.054883
1751,Ne Qu,harmonia,Fist Fighting,exalted monk,112,2026-01-26 19:04:26.054883
1752,Nely Kristo,harmonia,Sword Fighting,elite knight,131,2026-01-26 19:04:26.054883
1753,Nephirite,harmonia,Distance Fighting,royal paladin,134,2026-01-26 19:04:26.054883
1754,Nhaelin,harmonia,Axe Fighting,elite knight,129,2026-01-26 19:04:26.054883
1755,Nietoperko,harmonia,Sword Fighting,elite knight,132,2026-01-26 19:04:26.054883
1756,Nifonivver,harmonia,Sword Fighting,knight,131,2026-01-26 19:04:26.054883
1757,Niko Niku,harmonia,Sword Fighting,knight,131,2026-01-26 19:04:26.054883
1758,Nilfix Krox,harmonia,Sword Fighting,knight,131,2026-01-26 19:04:26.054883
1759,Nimnom Nom,harmonia,Sword Fighting,knight,131,2026-01-26 19:04:26.054883
1760,Nofirelli,harmonia,Sword Fighting,knight,131,2026-01-26 19:04:26.054883
1761,Nograr,harmonia,Fist Fighting,exalted monk,117,2026-01-26 19:04:26.054883
1762,Nojryn,harmonia,Fist Fighting,exalted monk,110,2026-01-26 19:04:26.054883
1763,Nubanian,harmonia,Sword Fighting,knight,131,2026-01-26 19:04:26.054883
1764,Nufelixer,harmonia,Sword Fighting,knight,131,2026-01-26 19:04:26.054883
1765,Nyanian,harmonia,Sword Fighting,knight,131,2026-01-26 19:04:26.054883
1766,Nybanian,harmonia,Sword Fighting,knight,131,2026-01-26 19:04:26.054883
1767,Nycanian,harmonia,Sword Fighting,knight,131,2026-01-26 19:04:26.054883
1768,Nydanian,harmonia,Sword Fighting,knight,131,2026-01-26 19:04:26.054883
1769,Nyfanian,harmonia,Sword Fighting,knight,131,2026-01-26 19:04:26.054883
1770,Nympho Boy,harmonia,Sword Fighting,knight,131,2026-01-26 19:04:26.054883
1771,Orme,harmonia,Shielding,royal paladin,123,2026-01-26 19:04:26.054883
1772,Osadniczek,harmonia,Club Fighting,elite knight,126,2026-01-26 19:04:26.054883
1773,Ouries,harmonia,Club Fighting,elite knight,127,2026-01-26 19:04:26.054883
1774,Parcel Ada,harmonia,Distance Fighting,royal paladin,135,2026-01-26 19:04:26.054883
1775,Pawelkus Kornes,harmonia,Club Fighting,knight,126,2026-01-26 19:04:26.054883
1776,Perfect Szot,harmonia,Distance Fighting,royal paladin,136,2026-01-26 19:04:26.054883
1777,Piatka,harmonia,Distance Fighting,royal paladin,139,2026-01-26 19:04:26.054883
1778,Praethorian,harmonia,Axe Fighting,elite knight,131,2026-01-26 19:04:26.054883
1779,Premislao The Warrior,harmonia,Axe Fighting,knight,129,2026-01-26 19:04:26.054883
1780,Propaganda Wuurzel,harmonia,Sword Fighting,elite knight,136,2026-01-26 19:04:26.054883
1781,Przemlo,harmonia,Shielding,elite knight,123,2026-01-26 19:04:26.054883
1782,Radical Energy,harmonia,Magic Level,master sorcerer,130,2026-01-26 19:04:26.054883
1783,Ragnor Lothbrook,harmonia,Axe Fighting,elite knight,129,2026-01-26 19:04:26.054883
1784,Ramanuja,harmonia,Magic Level,master sorcerer,128,2026-01-26 19:04:26.054883
1785,Ramarexas Kanapka,harmonia,Distance Fighting,royal paladin,134,2026-01-26 19:04:26.054883
1786,Reapzer,harmonia,Sword Fighting,elite knight,130,2026-01-26 19:04:26.054883
1787,Reclipse,harmonia,Fist Fighting,exalted monk,109,2026-01-26 19:04:26.054883
1788,Reno Monk,harmonia,Fist Fighting,exalted monk,109,2026-01-26 19:04:26.054883
1789,Roaming Dread,harmonia,Fist Fighting,exalted monk,125,2026-01-26 19:04:26.054883
1790,Royal Borgex,harmonia,Distance Fighting,royal paladin,137,2026-01-26 19:04:26.054883
1791,Ruid Desaba,harmonia,Axe Fighting,elite knight,130,2026-01-26 19:04:26.054883
1792,Sants Kexa,harmonia,Axe Fighting,elite knight,128,2026-01-26 19:04:26.054883
1793,Sargantanas,harmonia,Magic Level,master sorcerer,131,2026-01-26 19:04:26.054883
1794,Sechetto,harmonia,Axe Fighting,elite knight,129,2026-01-26 19:04:26.054883
1795,Shiax Alan,harmonia,Sword Fighting,elite knight,134,2026-01-26 19:04:26.054883
1796,Silver Ikara,harmonia,Axe Fighting,elite knight,129,2026-01-26 19:04:26.054883
1797,Skattejegern,harmonia,Magic Level,master sorcerer,142,2026-01-26 19:04:26.054883
1798,Skyr Shadow,harmonia,Axe Fighting,elite knight,130,2026-01-26 19:04:26.054883
1799,Snusprillan,harmonia,Club Fighting,elite knight,129,2026-01-26 19:04:26.054883
1800,Soverv Clubowicz,harmonia,Club Fighting,elite knight,131,2026-01-26 19:04:26.054883
1801,Steven Athi,harmonia,Club Fighting,elite knight,130,2026-01-26 19:04:26.054883
1802,Stinky Porky,harmonia,Distance Fighting,royal paladin,134,2026-01-26 19:04:26.054883
1803,Sweety Hands,harmonia,Fist Fighting,exalted monk,110,2026-01-26 19:04:26.054883
1804,Szipsu,harmonia,Magic Level,master sorcerer,133,2026-01-26 19:04:26.054883
1805,Tapherial Ruprecht,harmonia,Club Fighting,elite knight,127,2026-01-26 19:04:26.054883
1806,Tesyan,harmonia,Shielding,royal paladin,123,2026-01-26 19:04:26.054883
1807,Thol Feno,harmonia,Axe Fighting,elite knight,130,2026-01-26 19:04:26.054883
1808,Tigresito the Tiger,harmonia,Sword Fighting,elite knight,131,2026-01-26 19:04:26.054883
1809,Tinrix,harmonia,Fist Fighting,exalted monk,112,2026-01-26 19:04:26.054883
1810,Tom Ylw,harmonia,Distance Fighting,royal paladin,138,2026-01-26 19:04:26.054883
1811,Torimex,harmonia,Axe Fighting,elite knight,136,2026-01-26 19:04:26.054883
1812,Tulab,harmonia,Distance Fighting,royal paladin,135,2026-01-26 19:04:26.054883
1813,Vaul harmonia,harmonia,Shielding,elite knight,123,2026-01-26 19:04:26.054883
1814,Vesanto,harmonia,Distance Fighting,royal paladin,139,2026-01-26 19:04:26.054883
1815,Veythor,harmonia,Axe Fighting,elite knight,128,2026-01-26 19:04:26.054883
1816,Vincent van Boyo,harmonia,Shielding,elite knight,123,2026-01-26 19:04:26.054883
1817,Visionoiur,harmonia,Club Fighting,elite knight,129,2026-01-26 19:04:26.054883
1818,Voidel,harmonia,Magic Level,sorcerer,131,2026-01-26 19:04:26.054883
1819,Vomlet,harmonia,Axe Fighting,knight,135,2026-01-26 19:04:26.054883
1820,Wavvess,harmonia,Magic Level,master sorcerer,132,2026-01-26 19:04:26.054883
1821,Wyborny Siekiernik,harmonia,Axe Fighting,elite knight,131,2026-01-26 19:04:26.054883
1822,Xakoo,harmonia,Shielding,elite knight,123,2026-01-26 19:04:26.054883
1823,Yuki Monk,harmonia,Fist Fighting,exalted monk,109,2026-01-26 19:04:26.054883
1824,Zabujca Uhuw,harmonia,Club Fighting,knight,126,2026-01-26 19:04:26.054883
1825,Zaharsky,harmonia,Club Fighting,elite knight,126,2026-01-26 19:04:26.054883
1826,Zerdos,harmonia,Shielding,elite knight,123,2026-01-26 19:04:26.054883
1827,Ziomalek Koksik,harmonia,Magic Level,master sorcerer,135,2026-01-26 19:04:26.054883
1828,Ziwo'ik,harmonia,Distance Fighting,royal paladin,135,2026-01-26 19:04:26.054883
1829,Zwierzuu,harmonia,Distance Fighting,royal paladin,135,2026-01-26 19:04:26.054883
1830,Anndo,harmonia,Distance Fighting,royal paladin,138,2026-01-26 19:04:26.054883
1831,Beladina,harmonia,Shielding,royal paladin,124,2026-01-26 19:04:26.054883
1832,Guiibsz,harmonia,Fist Fighting,monk,110,2026-01-26 19:04:26.054883
1833,Kurky Archer,harmonia,Shielding,paladin,123,2026-01-26 19:04:26.054883
1834,Mareecki,harmonia,Magic Level,master sorcerer,131,2026-01-26 19:04:26.054883
1835,Megafire Zoldyck,harmonia,Distance Fighting,paladin,135,2026-01-26 19:04:26.054883
1836,Mellar,harmonia,Shielding,royal paladin,123,2026-01-26 19:04:26.054883
1837,Nephirite,harmonia,Shielding,royal paladin,123,2026-01-26 19:04:26.054883
1838,Ninja Daniel,harmonia,Distance Fighting,royal paladin,139,2026-01-26 19:04:26.054883
1839,No Words Left,harmonia,Distance Fighting,royal paladin,134,2026-01-26 19:04:26.054883
1840,Temartus,harmonia,Fist Fighting,exalted monk,115,2026-01-26 19:04:26.054883
1841,Tulab,harmonia,Shielding,royal paladin,123,2026-01-26 19:04:26.054883
1842,Ziwo'ik,harmonia,Shielding,royal paladin,123,2026-01-26 19:04:26.054883
1843,Abrams Lous,antica,Club Fighting,elite knight,126,2026-01-26 19:04:26.054883
1844,Anilde,antica,Distance Fighting,royal paladin,136,2026-01-26 19:04:26.054883
1845,Antooni,antica,Sword Fighting,elite knight,130,2026-01-26 19:04:26.054883
1846,Bambooty,antica,Fist Fighting,exalted monk,113,2026-01-26 19:04:26.054883
1847,Beruck,antica,Distance Fighting,royal paladin,134,2026-01-26 19:04:26.054883
1848,Blaina Siwynia,antica,Magic Level,master sorcerer,130,2026-01-26 19:04:26.054883
1849,Bolk,antica,Magic Level,master sorcerer,129,2026-01-26 19:04:26.054883
1850,Bossprime,antica,Sword Fighting,elite knight,140,2026-01-26 19:04:26.054883
1851,Brutal Bits,antica,Fist Fighting,exalted monk,112,2026-01-26 19:04:26.054883
1852,Byron McAllister,antica,Sword Fighting,elite knight,132,2026-01-26 19:04:26.054883
1853,Charles Robert Darwin,antica,Sword Fighting,elite knight,130,2026-01-26 19:04:26.054883
1854,Charlover Teq,antica,Club Fighting,elite knight,128,2026-01-26 19:04:26.054883
1855,Charlover Topskill,antica,Club Fighting,elite knight,133,2026-01-26 19:04:26.054883
1856,Cieply Romano,antica,Magic Level,master sorcerer,132,2026-01-26 19:04:26.054883
1857,Complex,antica,Axe Fighting,elite knight,128,2026-01-26 19:04:26.054883
1858,Core Wetterwachs,antica,Sword Fighting,elite knight,135,2026-01-26 19:04:26.054883
1859,Crazy Fists,antica,Fist Fighting,exalted monk,112,2026-01-26 19:04:26.054883
1860,Crypth,antica,Axe Fighting,elite knight,128,2026-01-26 19:04:26.054883
1861,Cygi los panczos,antica,Magic Level,master sorcerer,130,2026-01-26 19:04:26.054883
1862,Dark Asasina,antica,Sword Fighting,elite knight,130,2026-01-26 19:04:26.054883
1863,Dark Asasins,antica,Sword Fighting,elite knight,130,2026-01-26 19:04:26.054883
1864,Daso II,antica,Distance Fighting,royal paladin,140,2026-01-26 19:04:26.054883
1865,Deathfire Strini,antica,Fist Fighting,exalted monk,112,2026-01-26 19:04:26.054883
1866,Diamanoo,antica,Sword Fighting,elite knight,131,2026-01-26 19:04:26.054883
1867,Diva,antica,Club Fighting,elite knight,125,2026-01-26 19:04:26.054883
1868,Divine Stability,antica,Club Fighting,elite knight,130,2026-01-26 19:04:26.054883
1869,Don Tigger,antica,Distance Fighting,royal paladin,134,2026-01-26 19:04:26.054883
1870,Dont trust me,antica,Axe Fighting,elite knight,130,2026-01-26 19:04:26.054883
1871,Dreadful,antica,Club Fighting,elite knight,130,2026-01-26 19:04:26.054883
1872,Dryad Darkheart,antica,Axe Fighting,elite knight,129,2026-01-26 19:04:26.054883
1873,Dzidek Back,antica,Shielding,royal paladin,123,2026-01-26 19:04:26.054883
1874,Dzixo,antica,Fist Fighting,exalted monk,118,2026-01-26 19:04:26.054883
1875,Eilert Pilarm,antica,Distance Fighting,royal paladin,136,2026-01-26 19:04:26.054883
1876,Elar Ligus,antica,Club Fighting,elite knight,125,2026-01-26 19:04:26.054883
1877,Eldra Kaemii,antica,Fist Fighting,exalted monk,116,2026-01-26 19:04:26.054883
1878,Elrik,antica,Distance Fighting,royal paladin,135,2026-01-26 19:04:26.054883
1879,Elvthe,antica,Magic Level,master sorcerer,127,2026-01-26 19:04:26.054883
1880,Evil Forceman,antica,Magic Level,master sorcerer,127,2026-01-26 19:04:26.054883
1881,Exalted Fist,antica,Fist Fighting,exalted monk,109,2026-01-26 19:04:26.054883
1882,Exit Boltuje,antica,Shielding,royal paladin,123,2026-01-26 19:04:26.054883
1883,Exys,antica,Sword Fighting,elite knight,133,2026-01-26 19:04:26.054883
1884,Fihesute,antica,Axe Fighting,elite knight,131,2026-01-26 19:04:26.054883
1885,Filippa,antica,Distance Fighting,royal paladin,135,2026-01-26 19:04:26.054883
1886,Fistofthefury,antica,Fist Fighting,exalted monk,116,2026-01-26 19:04:26.054883
1887,Fleeting Flipflop,antica,Magic Level,master sorcerer,132,2026-01-26 19:04:26.054883
1888,Fobison,antica,Magic Level,master sorcerer,146,2026-01-26 19:04:26.054883
1889,Forever Jaded,antica,Magic Level,master sorcerer,127,2026-01-26 19:04:26.054883
1890,Foxer,antica,Magic Level,master sorcerer,128,2026-01-26 19:04:26.054883
1891,Fresh Luka,antica,Axe Fighting,elite knight,134,2026-01-26 19:04:26.054883
1892,Friend To Destiny,antica,Sword Fighting,elite knight,133,2026-01-26 19:04:26.054883
1893,Frost Here,antica,Fist Fighting,exalted monk,112,2026-01-26 19:04:26.054883
1894,Furyprime,antica,Distance Fighting,royal paladin,140,2026-01-26 19:04:26.054883
1895,Garbaty Rowerzysta,antica,Sword Fighting,elite knight,133,2026-01-26 19:04:26.054883
1896,Gigachad Sigma Monk,antica,Fist Fighting,exalted monk,116,2026-01-26 19:04:26.054883
1897,Gnievny,antica,Axe Fighting,elite knight,128,2026-01-26 19:04:26.054883
1898,Guerrero De Las Sombras,antica,Sword Fighting,elite knight,140,2026-01-26 19:04:26.054883
1899,Gvyn Bleidd,antica,Fist Fighting,exalted monk,122,2026-01-26 19:04:26.054883
1900,Harvezd from Danubia,antica,Club Fighting,knight,129,2026-01-26 19:04:26.054883
1901,Hedur,antica,Club Fighting,elite knight,127,2026-01-26 19:04:26.054883
1902,Holyboo,antica,Distance Fighting,royal paladin,135,2026-01-26 19:04:26.054883
1903,Ibn Arabi,antica,Axe Fighting,knight,129,2026-01-26 19:04:26.054883
1904,Irken Cool,antica,Fist Fighting,exalted monk,112,2026-01-26 19:04:26.054883
1905,Iruz,antica,Club Fighting,elite knight,127,2026-01-26 19:04:26.054883
1906,Itz Kladi,antica,Sword Fighting,elite knight,134,2026-01-26 19:04:26.054883
1907,Jaja Kup,antica,Club Fighting,elite knight,125,2026-01-26 19:04:26.054883
1908,Jimmy Darksoul,antica,Club Fighting,elite knight,128,2026-01-26 19:04:26.054883
1909,Jrlok Ek,antica,Club Fighting,elite knight,125,2026-01-26 19:04:26.054883
1910,Jurdziii,antica,Fist Fighting,exalted monk,114,2026-01-26 19:04:26.054883
1911,Kang Hur,antica,Club Fighting,elite knight,127,2026-01-26 19:04:26.054883
1912,Kaziu Inter,antica,Club Fighting,elite knight,125,2026-01-26 19:04:26.054883
1913,Killinem,antica,Club Fighting,elite knight,128,2026-01-26 19:04:26.054883
1914,Killtec,antica,Axe Fighting,elite knight,136,2026-01-26 19:04:26.054883
1915,Kingjambor,antica,Axe Fighting,elite knight,130,2026-01-26 19:04:26.054883
1916,Kith Core,antica,Distance Fighting,royal paladin,134,2026-01-26 19:04:26.054883
1917,Kitiara,antica,Magic Level,master sorcerer,127,2026-01-26 19:04:26.054883
1918,Knochi,antica,Sword Fighting,elite knight,131,2026-01-26 19:04:26.054883
1919,Kompisar Hip Hop,antica,Fist Fighting,exalted monk,113,2026-01-26 19:04:26.054883
1920,Krieger,antica,Distance Fighting,royal paladin,134,2026-01-26 19:04:26.054883
1921,Kyckoo,antica,Axe Fighting,elite knight,128,2026-01-26 19:04:26.054883
1922,Kyomuu,antica,Fist Fighting,exalted monk,109,2026-01-26 19:04:26.054883
1923,Lady Andaria,antica,Shielding,elite knight,123,2026-01-26 19:04:26.054883
1924,Lady Cazandra,antica,Sword Fighting,elite knight,131,2026-01-26 19:04:26.054883
1925,Lady Fay,antica,Sword Fighting,elite knight,131,2026-01-26 19:04:26.054883
1926,Legend Lover,antica,Club Fighting,elite knight,129,2026-01-26 19:04:26.054883
1927,Legorn Sunrise,antica,Sword Fighting,elite knight,131,2026-01-26 19:04:26.054883
1928,Leozin Noway,antica,Axe Fighting,elite knight,128,2026-01-26 19:04:26.054883
1929,Lightspreader,antica,Sword Fighting,elite knight,130,2026-01-26 19:04:26.054883
1930,Liladis,antica,Fist Fighting,exalted monk,119,2026-01-26 19:04:26.054883
1931,Lito Maldito,antica,Sword Fighting,elite knight,135,2026-01-26 19:04:26.054883
1932,Little Gary,antica,Distance Fighting,paladin,134,2026-01-26 19:04:26.054883
1933,Lord Kendo,antica,Distance Fighting,royal paladin,134,2026-01-26 19:04:26.054883
1934,Lord Maseda,antica,Sword Fighting,elite knight,140,2026-01-26 19:04:26.054883
1935,Love Is Everything,antica,Club Fighting,elite knight,133,2026-01-26 19:04:26.054883
1936,Mad Mila,antica,Magic Level,master sorcerer,128,2026-01-26 19:04:26.054883
1937,Madsson,antica,Axe Fighting,elite knight,130,2026-01-26 19:04:26.054883
1938,Magicallse,antica,Magic Level,master sorcerer,130,2026-01-26 19:04:26.054883
1939,Magicice,antica,Distance Fighting,royal paladin,136,2026-01-26 19:04:26.054883
1940,Mahmoud-zoro,antica,Magic Level,master sorcerer,128,2026-01-26 19:04:26.054883
1941,Manchiny,antica,Magic Level,master sorcerer,128,2026-01-26 19:04:26.054883
1942,Mardin,antica,Axe Fighting,elite knight,130,2026-01-26 19:04:26.054883
1943,Matzes,antica,Club Fighting,elite knight,136,2026-01-26 19:04:26.054883
1944,Merudrian,antica,Fist Fighting,exalted monk,122,2026-01-26 19:04:26.054883
1945,Michageddon,antica,Magic Level,master sorcerer,127,2026-01-26 19:04:26.054883
1946,Middel,antica,Magic Level,master sorcerer,131,2026-01-26 19:04:26.054883
1947,Miss die besten,antica,Sword Fighting,elite knight,130,2026-01-26 19:04:26.054883
1948,Mocarz Kamsy,antica,Axe Fighting,elite knight,128,2026-01-26 19:04:26.054883
1949,Monkowiec,antica,Fist Fighting,exalted monk,117,2026-01-26 19:04:26.054883
1950,Moredhell,antica,Sword Fighting,elite knight,130,2026-01-26 19:04:26.054883
1951,Mroczny Zadek,antica,Club Fighting,elite knight,126,2026-01-26 19:04:26.054883
1952,Naruse,antica,Magic Level,master sorcerer,129,2026-01-26 19:04:26.054883
1953,Nasty Kasper,antica,Distance Fighting,royal paladin,137,2026-01-26 19:04:26.054883
1954,Nasty Kidifang,antica,Club Fighting,elite knight,130,2026-01-26 19:04:26.054883
1955,Natur Otur,antica,Distance Fighting,royal paladin,134,2026-01-26 19:04:26.054883
1956,Nemas,antica,Shielding,royal paladin,123,2026-01-26 19:04:26.054883
1957,Nemes,antica,Axe Fighting,elite knight,133,2026-01-26 19:04:26.054883
1958,Nemoris Leywin,antica,Sword Fighting,elite knight,132,2026-01-26 19:04:26.054883
1959,Neo,antica,Magic Level,master sorcerer,128,2026-01-26 19:04:26.054883
1960,Nienna Telperien,antica,Shielding,royal paladin,123,2026-01-26 19:04:26.054883
1961,Niezgoddha,antica,Fist Fighting,exalted monk,110,2026-01-26 19:04:26.054883
1962,Niquit,antica,Magic Level,master sorcerer,131,2026-01-26 19:04:26.054883
1963,Nyge,antica,Sword Fighting,elite knight,131,2026-01-26 19:04:26.054883
1964,Oddi Henceforth,antica,Sword Fighting,knight,131,2026-01-26 19:04:26.054883
1965,Ohin,antica,Club Fighting,elite knight,133,2026-01-26 19:04:26.054883
1966,Orle Gniazdo,antica,Sword Fighting,elite knight,133,2026-01-26 19:04:26.054883
1967,Ovvl,antica,Distance Fighting,royal paladin,134,2026-01-26 19:04:26.054883
1968,Paitah On,antica,Fist Fighting,exalted monk,112,2026-01-26 19:04:26.054883
1969,Patprime,antica,Sword Fighting,elite knight,134,2026-01-26 19:04:26.054883
1970,Pekky Khamzai,antica,Magic Level,master sorcerer,134,2026-01-26 19:04:26.054883
1971,Pepinoprime,antica,Club Fighting,elite knight,136,2026-01-26 19:04:26.054883
1972,Pestuncio,antica,Fist Fighting,exalted monk,113,2026-01-26 19:04:26.054883
1973,Picture,antica,Club Fighting,elite knight,129,2026-01-26 19:04:26.054883
1974,Pierono,antica,Magic Level,master sorcerer,148,2026-01-26 19:04:26.054883
1975,Piratov,antica,Axe Fighting,elite knight,136,2026-01-26 19:04:26.054883
1976,Pire Piro,antica,Sword Fighting,elite knight,132,2026-01-26 19:04:26.054883
1977,Professor Ragnar,antica,Club Fighting,elite knight,125,2026-01-26 19:04:26.054883
1978,Prowl is Back,antica,Axe Fighting,elite knight,132,2026-01-26 19:04:26.054883
1979,Quattro Hanys,antica,Sword Fighting,elite knight,132,2026-01-26 19:04:26.054883
1980,Raged fist,antica,Fist Fighting,exalted monk,110,2026-01-26 19:04:26.054883
1981,Rand Silverfang,antica,Magic Level,master sorcerer,137,2026-01-26 19:04:26.054883
1982,Ranny Zolnierz Elder,antica,Magic Level,master sorcerer,136,2026-01-26 19:04:26.054883
1983,Rhateus,antica,Axe Fighting,elite knight,129,2026-01-26 19:04:26.054883
1984,Ricky Diamond,antica,Axe Fighting,elite knight,132,2026-01-26 19:04:26.054883
1985,Riivv,antica,Magic Level,master sorcerer,136,2026-01-26 19:04:26.054883
1986,Ripperprime,antica,Distance Fighting,royal paladin,136,2026-01-26 19:04:26.054883
1987,Rye Ane,antica,Sword Fighting,elite knight,131,2026-01-26 19:04:26.054883
1988,Ryzn Warrior,antica,Sword Fighting,elite knight,133,2026-01-26 19:04:26.054883
1989,Sarlene,antica,Club Fighting,elite knight,126,2026-01-26 19:04:26.054883
1990,Severard,antica,Fist Fighting,exalted monk,109,2026-01-26 19:04:26.054883
1991,She Foo,antica,Fist Fighting,exalted monk,109,2026-01-26 19:04:26.054883
1992,Sick Ee Kay,antica,Sword Fighting,elite knight,132,2026-01-26 19:04:26.054883
1993,Silentshell,antica,Distance Fighting,royal paladin,141,2026-01-26 19:04:26.054883
1994,Sir Darkshadow,antica,Club Fighting,elite knight,128,2026-01-26 19:04:26.054883
1995,Siri Derdie,antica,Magic Level,master sorcerer,133,2026-01-26 19:04:26.054883
1996,Snaketooth,antica,Shielding,royal paladin,123,2026-01-26 19:04:26.054883
1997,Soul of Stone,antica,Sword Fighting,elite knight,130,2026-01-26 19:04:26.054883
1998,Spices,antica,Fist Fighting,exalted monk,112,2026-01-26 19:04:26.054883
1999,Squrviwons Rakso,antica,Club Fighting,elite knight,130,2026-01-26 19:04:26.054883
2000,Sundog,antica,Magic Level,master sorcerer,133,2026-01-26 19:04:26.054883
2001,Tefciowy Monk,antica,Fist Fighting,exalted monk,123,2026-01-26 19:04:26.054883
2002,Texiius,antica,Sword Fighting,elite knight,131,2026-01-26 19:04:26.054883
2003,The First Monk,antica,Fist Fighting,exalted monk,115,2026-01-26 19:04:26.054883
2004,The Mazino,antica,Fist Fighting,exalted monk,124,2026-01-26 19:04:26.054883
2005,Toxo bravo,antica,Axe Fighting,elite knight,130,2026-01-26 19:04:26.054883
2006,Turek primee,antica,Magic Level,master sorcerer,129,2026-01-26 19:04:26.054883
2007,Ulf Jan,antica,Axe Fighting,elite knight,128,2026-01-26 19:04:26.054883
2008,Veraxiz,antica,Axe Fighting,elite knight,128,2026-01-26 19:04:26.054883
2009,Viklund Shadowfist,antica,Fist Fighting,exalted monk,114,2026-01-26 19:04:26.054883
2010,Vincent'Dra,antica,Magic Level,master sorcerer,137,2026-01-26 19:04:26.054883
2011,Waleado,antica,Club Fighting,elite knight,128,2026-01-26 19:04:26.054883
2012,Walier Abel,antica,Axe Fighting,knight,128,2026-01-26 19:04:26.054883
2013,Xogoode,antica,Magic Level,master sorcerer,130,2026-01-26 19:04:26.054883
2014,Yankoz Maestro,antica,Magic Level,master sorcerer,138,2026-01-26 19:04:26.054883
2015,Ytrowjiceszher,antica,Shielding,elite knight,123,2026-01-26 19:04:26.054883
2016,Zarothprime,antica,Magic Level,master sorcerer,140,2026-01-26 19:04:26.054883
2017,Zigne,antica,Shielding,paladin,123,2026-01-26 19:04:26.054883
2018,Zmek,antica,Axe Fighting,elite knight,134,2026-01-26 19:04:26.054883
2019,Zoo Milka,antica,Club Fighting,elite knight,127,2026-01-26 19:04:26.054883
2020,Czin czi,antica,Club Fighting,elite knight,128,2026-01-26 19:04:26.054883
2021,Elrik,antica,Shielding,royal paladin,124,2026-01-26 19:04:26.054883
2022,Filippa,antica,Shielding,royal paladin,124,2026-01-26 19:04:26.054883
2023,Jinchanzi,antica,Fist Fighting,exalted monk,109,2026-01-26 19:04:26.054883
2024,King Zargerass,antica,Magic Level,master sorcerer,127,2026-01-26 19:04:26.054883
2025,Kith Core,antica,Shielding,royal paladin,123,2026-01-26 19:04:26.054883
2026,Little Gary,antica,Shielding,paladin,123,2026-01-26 19:04:26.054883
2027,Natur Otur,antica,Shielding,royal paladin,124,2026-01-26 19:04:26.054883
2028,Oger,antica,Club Fighting,elite knight,134,2026-01-26 19:04:26.054883
2029,Puxx Puxx,antica,Fist Fighting,exalted monk,110,2026-01-26 19:04:26.054883
2030,Sane Ryonos,antica,Fist Fighting,exalted monk,114,2026-01-26 19:04:26.054883
2031,The Cobra Kai,antica,Fist Fighting,exalted monk,115,2026-01-26 19:04:26.054883
2032,Alko Popiool,eclipta,Sword Fighting,elite knight,132,2026-01-26 19:04:26.054883
2033,Haxxaru,eclipta,Magic Level,master sorcerer,127,2026-01-26 19:04:26.054883
2034,Mini Thiago,eclipta,Magic Level,master sorcerer,129,2026-01-26 19:04:26.054883
2035,Monk Michelangelo,eclipta,Fist Fighting,exalted monk,109,2026-01-26 19:04:26.054883
2036,Monkosevic,eclipta,Fist Fighting,exalted monk,117,2026-01-26 19:04:26.054883
2037,Negan Smith,eclipta,Club Fighting,elite knight,132,2026-01-26 19:04:26.054883
2038,Norbuss,eclipta,Club Fighting,elite knight,133,2026-01-26 19:04:26.054883
2039,Smakosh,eclipta,Fist Fighting,exalted monk,109,2026-01-26 19:04:26.054883
2040,The Monk Wukong,eclipta,Fist Fighting,exalted monk,111,2026-01-26 19:04:26.054883
2041,Wilmund,eclipta,Fist Fighting,exalted monk,111,2026-01-26 19:04:26.054883
2042,Wukongsz,eclipta,Fist Fighting,exalted monk,110,2026-01-26 19:04:26.054883
2043,Madjo,eclipta,Club Fighting,elite knight,126,2026-01-26 19:04:26.054883
2044,Akuji Heartless,kalibra,Fist Fighting,exalted monk,116,2026-01-26 19:04:26.054883
